"Jahr","Raumbezug","Ausprägung","Zuzuege"
2002,"08 Schwanthalerhöhe","nichtdeutsch",2553
2002,"09 Neuhausen - Nymphenburg","deutsch",7208
2002,"09 Neuhausen - Nymphenburg","nichtdeutsch",5598
2002,"10 Moosach","deutsch",3132
2002,"10 Moosach","nichtdeutsch",2860
2002,"11 Milbertshofen - Am Hart","deutsch",4428
2002,"11 Milbertshofen - Am Hart","nichtdeutsch",5881
2002,"12 Schwabing - Freimann","deutsch",5240
2002,"12 Schwabing - Freimann","nichtdeutsch",5169
2002,"13 Bogenhausen","deutsch",6006
2002,"13 Bogenhausen","nichtdeutsch",3588
2002,"14 Berg am Laim","deutsch",2836
2002,"14 Berg am Laim","nichtdeutsch",2285
2002,"15 Trudering - Riem","deutsch",4305
2002,"15 Trudering - Riem","nichtdeutsch",3138
2002,"16 Ramersdorf - Perlach","deutsch",6244
2002,"16 Ramersdorf - Perlach","nichtdeutsch",5589
2002,"17 Obergiesing - Fasangarten","deutsch",3815
2002,"17 Obergiesing - Fasangarten","nichtdeutsch",4771
2002,"18 Untergiesing - Harlaching","deutsch",4459
2002,"18 Untergiesing - Harlaching","nichtdeutsch",2658
2002,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",5898
2002,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",4283
2002,"20 Hadern","deutsch",3181
2002,"20 Hadern","nichtdeutsch",2197
2002,"21 Pasing - Obermenzing","deutsch",4731
2002,"21 Pasing - Obermenzing","nichtdeutsch",3438
2002,"22 Aubing - Lochhausen - Langwied","deutsch",2248
2002,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1887
2002,"23 Allach - Untermenzing","deutsch",1837
2002,"23 Allach - Untermenzing","nichtdeutsch",1156
2002,"24 Feldmoching - Hasenbergl","deutsch",3213
2002,"24 Feldmoching - Hasenbergl","nichtdeutsch",3386
2002,"25 Laim","deutsch",3682
2002,"25 Laim","nichtdeutsch",2235
2003,"01 Altstadt - Lehel","deutsch",1959
2003,"01 Altstadt - Lehel","nichtdeutsch",1349
2003,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5073
2003,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4448
2003,"03 Maxvorstadt","deutsch",4579
2003,"03 Maxvorstadt","nichtdeutsch",3462
2003,"04 Schwabing - West","deutsch",5178
2003,"04 Schwabing - West","nichtdeutsch",4238
2003,"05 Au - Haidhausen","deutsch",4918
2003,"05 Au - Haidhausen","nichtdeutsch",3511
2003,"06 Sendling","deutsch",3231
2003,"06 Sendling","nichtdeutsch",2288
2003,"07 Sendling - Westpark","deutsch",3823
2003,"07 Sendling - Westpark","nichtdeutsch",2747
2003,"08 Schwanthalerhöhe","deutsch",2188
2003,"08 Schwanthalerhöhe","nichtdeutsch",2497
2003,"09 Neuhausen - Nymphenburg","deutsch",7188
2003,"09 Neuhausen - Nymphenburg","nichtdeutsch",5415
2003,"10 Moosach","deutsch",3230
2003,"10 Moosach","nichtdeutsch",3055
2003,"11 Milbertshofen - Am Hart","deutsch",4452
2003,"11 Milbertshofen - Am Hart","nichtdeutsch",6612
2003,"12 Schwabing - Freimann","deutsch",5189
2003,"12 Schwabing - Freimann","nichtdeutsch",5139
2003,"13 Bogenhausen","deutsch",6029
2003,"13 Bogenhausen","nichtdeutsch",3973
2003,"14 Berg am Laim","deutsch",2738
2003,"14 Berg am Laim","nichtdeutsch",2198
2003,"15 Trudering - Riem","deutsch",4266
2003,"15 Trudering - Riem","nichtdeutsch",3528
2003,"16 Ramersdorf - Perlach","deutsch",6790
2003,"16 Ramersdorf - Perlach","nichtdeutsch",6136
2003,"17 Obergiesing - Fasangarten","deutsch",4002
2003,"17 Obergiesing - Fasangarten","nichtdeutsch",4303
2003,"18 Untergiesing - Harlaching","deutsch",4730
2003,"18 Untergiesing - Harlaching","nichtdeutsch",2748
2003,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6190
2003,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",3981
2003,"20 Hadern","deutsch",2945
2003,"20 Hadern","nichtdeutsch",2226
2003,"21 Pasing - Obermenzing","deutsch",5344
2003,"21 Pasing - Obermenzing","nichtdeutsch",3595
2003,"22 Aubing - Lochhausen - Langwied","deutsch",2624
2003,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1983
2003,"23 Allach - Untermenzing","deutsch",2155
2003,"23 Allach - Untermenzing","nichtdeutsch",1131
2003,"24 Feldmoching - Hasenbergl","deutsch",3345
2003,"24 Feldmoching - Hasenbergl","nichtdeutsch",3323
2003,"25 Laim","deutsch",3923
2003,"25 Laim","nichtdeutsch",2472
2004,"01 Altstadt - Lehel","deutsch",2084
2004,"01 Altstadt - Lehel","nichtdeutsch",1328
2004,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5505
2004,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4667
2004,"03 Maxvorstadt","deutsch",5144
2004,"03 Maxvorstadt","nichtdeutsch",3587
2004,"04 Schwabing - West","deutsch",6320
2004,"04 Schwabing - West","nichtdeutsch",4490
