"Jahr","Raumbezug","Ausprägung","Zuzuege"
2010,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",6237
2010,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4805
2010,"03 Maxvorstadt","deutsch",6689
2010,"03 Maxvorstadt","nichtdeutsch",4045
2010,"04 Schwabing - West","deutsch",6874
2010,"04 Schwabing - West","nichtdeutsch",3771
2010,"05 Au - Haidhausen","deutsch",6180
2010,"05 Au - Haidhausen","nichtdeutsch",3261
2010,"06 Sendling","deutsch",3986
2010,"06 Sendling","nichtdeutsch",2361
2010,"07 Sendling - Westpark","deutsch",4431
2010,"07 Sendling - Westpark","nichtdeutsch",2831
2010,"08 Schwanthalerhöhe","deutsch",2773
2010,"08 Schwanthalerhöhe","nichtdeutsch",2299
2010,"09 Neuhausen - Nymphenburg","deutsch",9103
2010,"09 Neuhausen - Nymphenburg","nichtdeutsch",5613
2010,"10 Moosach","deutsch",3357
2010,"10 Moosach","nichtdeutsch",3982
2010,"11 Milbertshofen - Am Hart","deutsch",5485
2010,"11 Milbertshofen - Am Hart","nichtdeutsch",6871
2010,"12 Schwabing - Freimann","deutsch",7142
2010,"12 Schwabing - Freimann","nichtdeutsch",5225
2010,"13 Bogenhausen","deutsch",6689
2010,"13 Bogenhausen","nichtdeutsch",3583
2010,"14 Berg am Laim","deutsch",3590
2010,"14 Berg am Laim","nichtdeutsch",2595
2010,"15 Trudering - Riem","deutsch",5283
2010,"15 Trudering - Riem","nichtdeutsch",3180
2010,"16 Ramersdorf - Perlach","deutsch",6935
2010,"16 Ramersdorf - Perlach","nichtdeutsch",6312
2010,"17 Obergiesing - Fasangarten","deutsch",5062
2010,"17 Obergiesing - Fasangarten","nichtdeutsch",4504
2010,"18 Untergiesing - Harlaching","deutsch",5221
2010,"18 Untergiesing - Harlaching","nichtdeutsch",2914
2010,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7135
2010,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",6283
2010,"20 Hadern","deutsch",3753
2010,"20 Hadern","nichtdeutsch",2451
2010,"21 Pasing - Obermenzing","deutsch",6045
2010,"21 Pasing - Obermenzing","nichtdeutsch",3340
2010,"22 Aubing - Lochhausen - Langwied","deutsch",2832
2010,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1927
2010,"23 Allach - Untermenzing","deutsch",2339
2010,"23 Allach - Untermenzing","nichtdeutsch",1311
2010,"24 Feldmoching - Hasenbergl","deutsch",3578
2010,"24 Feldmoching - Hasenbergl","nichtdeutsch",3771
2010,"25 Laim","deutsch",4723
2010,"25 Laim","nichtdeutsch",2856
2011,"01 Altstadt - Lehel","deutsch",2352
2011,"01 Altstadt - Lehel","nichtdeutsch",1573
2011,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5954
2011,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4915
2011,"03 Maxvorstadt","deutsch",6102
2011,"03 Maxvorstadt","nichtdeutsch",3913
2011,"04 Schwabing - West","deutsch",6585
2011,"04 Schwabing - West","nichtdeutsch",4031
2011,"05 Au - Haidhausen","deutsch",6170
2011,"05 Au - Haidhausen","nichtdeutsch",3540
2011,"06 Sendling","deutsch",3645
2011,"06 Sendling","nichtdeutsch",2568
2011,"07 Sendling - Westpark","deutsch",4543
2011,"07 Sendling - Westpark","nichtdeutsch",3268
2011,"08 Schwanthalerhöhe","deutsch",2748
2011,"08 Schwanthalerhöhe","nichtdeutsch",2449
2011,"09 Neuhausen - Nymphenburg","deutsch",9536
2011,"09 Neuhausen - Nymphenburg","nichtdeutsch",6391
2011,"10 Moosach","deutsch",3494
2011,"10 Moosach","nichtdeutsch",4116
2011,"11 Milbertshofen - Am Hart","deutsch",5253
2011,"11 Milbertshofen - Am Hart","nichtdeutsch",7108
2011,"12 Schwabing - Freimann","deutsch",6874
2011,"12 Schwabing - Freimann","nichtdeutsch",5687
2011,"13 Bogenhausen","deutsch",6893
2011,"13 Bogenhausen","nichtdeutsch",4164
2011,"14 Berg am Laim","deutsch",3416
2011,"14 Berg am Laim","nichtdeutsch",2701
2011,"15 Trudering - Riem","deutsch",5229
2011,"15 Trudering - Riem","nichtdeutsch",3686
2011,"16 Ramersdorf - Perlach","deutsch",6858
2011,"16 Ramersdorf - Perlach","nichtdeutsch",6709
2011,"17 Obergiesing - Fasangarten","deutsch",5407
2011,"17 Obergiesing - Fasangarten","nichtdeutsch",4852
2011,"18 Untergiesing - Harlaching","deutsch",5032
2011,"18 Untergiesing - Harlaching","nichtdeutsch",3261
2011,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7089
2011,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7307
2011,"20 Hadern","deutsch",3581
2011,"20 Hadern","nichtdeutsch",2744
2011,"21 Pasing - Obermenzing","deutsch",5890
2011,"21 Pasing - Obermenzing","nichtdeutsch",3739
2011,"22 Aubing - Lochhausen - Langwied","deutsch",2995
2011,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",2101
2011,"23 Allach - Untermenzing","deutsch",2367
2011,"23 Allach - Untermenzing","nichtdeutsch",1577
2011,"24 Feldmoching - Hasenbergl","deutsch",3572
2011,"24 Feldmoching - Hasenbergl","nichtdeutsch",4006
2011,"25 Laim","deutsch",4630
2011,"25 Laim","nichtdeutsch",3198
2012,"01 Altstadt - Lehel","deutsch",2051
2012,"01 Altstadt - Lehel","nichtdeutsch",1783
2012,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5588
2012,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",5410
2012,"03 Maxvorstadt","deutsch",6092
2012,"03 Maxvorstadt","nichtdeutsch",4350
2012,"04 Schwabing - West","deutsch",6590
2012,"04 Schwabing - West","nichtdeutsch",4267
2012,"05 Au - Haidhausen","deutsch",6071
2012,"05 Au - Haidhausen","nichtdeutsch",3941
2012,"06 Sendling","deutsch",3418
2012,"06 Sendling","nichtdeutsch",2619
2012,"07 Sendling - Westpark","deutsch",4396
2012,"07 Sendling - Westpark","nichtdeutsch",3569
2012,"08 Schwanthalerhöhe","deutsch",2615
2012,"08 Schwanthalerhöhe","nichtdeutsch",2801
2012,"09 Neuhausen - Nymphenburg","deutsch",8325
2012,"09 Neuhausen - Nymphenburg","nichtdeutsch",6877
2012,"10 Moosach","deutsch",3428
2012,"10 Moosach","nichtdeutsch",4642
2012,"11 Milbertshofen - Am Hart","deutsch",4999
2012,"11 Milbertshofen - Am Hart","nichtdeutsch",7687
2012,"12 Schwabing - Freimann","deutsch",6482
2012,"12 Schwabing - Freimann","nichtdeutsch",6083
2012,"13 Bogenhausen","deutsch",6218
2012,"13 Bogenhausen","nichtdeutsch",4699
2012,"14 Berg am Laim","deutsch",3354
2012,"14 Berg am Laim","nichtdeutsch",2890
2012,"15 Trudering - Riem","deutsch",4683
2012,"15 Trudering - Riem","nichtdeutsch",3246
2012,"16 Ramersdorf - Perlach","deutsch",6191
2012,"16 Ramersdorf - Perlach","nichtdeutsch",6920
2012,"17 Obergiesing - Fasangarten","deutsch",4525
2012,"17 Obergiesing - Fasangarten","nichtdeutsch",4906
2012,"18 Untergiesing - Harlaching","deutsch",4818
2012,"18 Untergiesing - Harlaching","nichtdeutsch",3332
2012,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6985
2012,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",8146
2012,"20 Hadern","deutsch",3083
2012,"20 Hadern","nichtdeutsch",2757
2012,"21 Pasing - Obermenzing","deutsch",5352
2012,"21 Pasing - Obermenzing","nichtdeutsch",4125
2012,"22 Aubing - Lochhausen - Langwied","deutsch",3103
2012,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",2516
2012,"23 Allach - Untermenzing","deutsch",2235
2012,"23 Allach - Untermenzing","nichtdeutsch",1898
2012,"24 Feldmoching - Hasenbergl","deutsch",3318
2012,"24 Feldmoching - Hasenbergl","nichtdeutsch",4255
2012,"25 Laim","deutsch",4124
2012,"25 Laim","nichtdeutsch",3163
2013,"01 Altstadt - Lehel","deutsch",2154
2013,"01 Altstadt - Lehel","nichtdeutsch",1940
2013,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5344
2013,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",6088
2013,"03 Maxvorstadt","deutsch",5712
2013,"03 Maxvorstadt","nichtdeutsch",4650
2013,"04 Schwabing - West","deutsch",6214
2013,"04 Schwabing - West","nichtdeutsch",4436
2013,"05 Au - Haidhausen","deutsch",5584
2013,"05 Au - Haidhausen","nichtdeutsch",4032
2013,"06 Sendling","deutsch",3312
2013,"06 Sendling","nichtdeutsch",2616
2013,"07 Sendling - Westpark","deutsch",4224
2013,"07 Sendling - Westpark","nichtdeutsch",3623
2013,"08 Schwanthalerhöhe","deutsch",2352
2013,"08 Schwanthalerhöhe","nichtdeutsch",2529
2013,"09 Neuhausen - Nymphenburg","deutsch",8317
2013,"09 Neuhausen - Nymphenburg","nichtdeutsch",7145
2013,"10 Moosach","deutsch",3738
2013,"10 Moosach","nichtdeutsch",5151
2013,"11 Milbertshofen - Am Hart","deutsch",4733
2013,"11 Milbertshofen - Am Hart","nichtdeutsch",7612
2013,"12 Schwabing - Freimann","deutsch",5724
2013,"12 Schwabing - Freimann","nichtdeutsch",6693
2013,"13 Bogenhausen","deutsch",6153
2013,"13 Bogenhausen","nichtdeutsch",4875
2013,"14 Berg am Laim","deutsch",2975
2013,"14 Berg am Laim","nichtdeutsch",2956
2013,"15 Trudering - Riem","deutsch",4385
2013,"15 Trudering - Riem","nichtdeutsch",3398
2013,"16 Ramersdorf - Perlach","deutsch",5963
2013,"16 Ramersdorf - Perlach","nichtdeutsch",7380
2013,"17 Obergiesing - Fasangarten","deutsch",4338
2013,"17 Obergiesing - Fasangarten","nichtdeutsch",4584
2013,"18 Untergiesing - Harlaching","deutsch",4577
2013,"18 Untergiesing - Harlaching","nichtdeutsch",3586
2013,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7183
2013,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",14795
2013,"20 Hadern","deutsch",3188
2013,"20 Hadern","nichtdeutsch",3395
2013,"21 Pasing - Obermenzing","deutsch",5379
2013,"21 Pasing - Obermenzing","nichtdeutsch",4512
2013,"22 Aubing - Lochhausen - Langwied","deutsch",2964
2013,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",2836
2013,"23 Allach - Untermenzing","deutsch",2099
2013,"23 Allach - Untermenzing","nichtdeutsch",1855
2013,"24 Feldmoching - Hasenbergl","deutsch",3320
2013,"24 Feldmoching - Hasenbergl","nichtdeutsch",4772
2013,"25 Laim","deutsch",3876
2013,"25 Laim","nichtdeutsch",3506
2014,"01 Altstadt - Lehel","deutsch",2028
2014,"01 Altstadt - Lehel","nichtdeutsch",1941
2014,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5277
2014,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",6962
2014,"03 Maxvorstadt","deutsch",5768
2014,"03 Maxvorstadt","nichtdeutsch",4731
2014,"04 Schwabing - West","deutsch",6312
2014,"04 Schwabing - West","nichtdeutsch",4645
2014,"05 Au - Haidhausen","deutsch",5342
2014,"05 Au - Haidhausen","nichtdeutsch",4262
2014,"06 Sendling","deutsch",3235
2014,"06 Sendling","nichtdeutsch",3021
2014,"07 Sendling - Westpark","deutsch",4190
2014,"07 Sendling - Westpark","nichtdeutsch",3958
2014,"08 Schwanthalerhöhe","deutsch",2389
2014,"08 Schwanthalerhöhe","nichtdeutsch",2602
2014,"09 Neuhausen - Nymphenburg","deutsch",7897
2014,"09 Neuhausen - Nymphenburg","nichtdeutsch",6904
2014,"10 Moosach","deutsch",3324
2014,"10 Moosach","nichtdeutsch",4957
2014,"11 Milbertshofen - Am Hart","deutsch",4789
2014,"11 Milbertshofen - Am Hart","nichtdeutsch",8072
2014,"12 Schwabing - Freimann","deutsch",5825
2014,"12 Schwabing - Freimann","nichtdeutsch",13622
2014,"13 Bogenhausen","deutsch",6084
2014,"13 Bogenhausen","nichtdeutsch",5246
2014,"14 Berg am Laim","deutsch",2979
2014,"14 Berg am Laim","nichtdeutsch",3193
2014,"15 Trudering - Riem","deutsch",4315
2014,"15 Trudering - Riem","nichtdeutsch",3744
2014,"16 Ramersdorf - Perlach","deutsch",5978
2014,"16 Ramersdorf - Perlach","nichtdeutsch",8235
2014,"17 Obergiesing - Fasangarten","deutsch",4468
2014,"17 Obergiesing - Fasangarten","nichtdeutsch",4532
2014,"18 Untergiesing - Harlaching","deutsch",4462
2014,"18 Untergiesing - Harlaching","nichtdeutsch",3505
2014,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6719
2014,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7813
2014,"20 Hadern","deutsch",3044
2014,"20 Hadern","nichtdeutsch",3508
2014,"21 Pasing - Obermenzing","deutsch",5082
2014,"21 Pasing - Obermenzing","nichtdeutsch",4565
2014,"22 Aubing - Lochhausen - Langwied","deutsch",2439
2014,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",2936
2014,"23 Allach - Untermenzing","deutsch",2152
2014,"23 Allach - Untermenzing","nichtdeutsch",2041
2014,"24 Feldmoching - Hasenbergl","deutsch",3023
2014,"24 Feldmoching - Hasenbergl","nichtdeutsch",4574
2014,"25 Laim","deutsch",3983
2014,"25 Laim","nichtdeutsch",3547
2015,"01 Altstadt - Lehel","deutsch",1936
2015,"01 Altstadt - Lehel","nichtdeutsch",1824
2015,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5638
2015,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",7048
2015,"03 Maxvorstadt","deutsch",5787
2015,"03 Maxvorstadt","nichtdeutsch",5326
2015,"04 Schwabing - West","deutsch",6606
2015,"04 Schwabing - West","nichtdeutsch",4765
2015,"05 Au - Haidhausen","deutsch",5286
2015,"05 Au - Haidhausen","nichtdeutsch",4318
2015,"06 Sendling","deutsch",3267
2015,"06 Sendling","nichtdeutsch",2830
2015,"07 Sendling - Westpark","deutsch",4598
2015,"07 Sendling - Westpark","nichtdeutsch",4499
2015,"08 Schwanthalerhöhe","deutsch",2323
2015,"08 Schwanthalerhöhe","nichtdeutsch",2535
2015,"09 Neuhausen - Nymphenburg","deutsch",7820
2015,"09 Neuhausen - Nymphenburg","nichtdeutsch",7044
2015,"10 Moosach","deutsch",3324
2015,"10 Moosach","nichtdeutsch",4689
2015,"11 Milbertshofen - Am Hart","deutsch",4396
2015,"11 Milbertshofen - Am Hart","nichtdeutsch",8289
2015,"12 Schwabing - Freimann","deutsch",6648
2015,"12 Schwabing - Freimann","nichtdeutsch",10827
2015,"13 Bogenhausen","deutsch",5712
2015,"13 Bogenhausen","nichtdeutsch",6249
2015,"14 Berg am Laim","deutsch",2916
2015,"14 Berg am Laim","nichtdeutsch",3478
2015,"15 Trudering - Riem","deutsch",4616
2015,"15 Trudering - Riem","nichtdeutsch",4228
2015,"16 Ramersdorf - Perlach","deutsch",6102
2015,"16 Ramersdorf - Perlach","nichtdeutsch",8535
2015,"17 Obergiesing - Fasangarten","deutsch",4453
2015,"17 Obergiesing - Fasangarten","nichtdeutsch",4646
2015,"18 Untergiesing - Harlaching","deutsch",4176
2015,"18 Untergiesing - Harlaching","nichtdeutsch",4091
2015,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6735
2015,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7182
2015,"20 Hadern","deutsch",2790
2015,"20 Hadern","nichtdeutsch",3709
2015,"21 Pasing - Obermenzing","deutsch",5109
2015,"21 Pasing - Obermenzing","nichtdeutsch",5072
2015,"22 Aubing - Lochhausen - Langwied","deutsch",2702
2015,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",3296
2015,"23 Allach - Untermenzing","deutsch",1974
2015,"23 Allach - Untermenzing","nichtdeutsch",2122
2015,"24 Feldmoching - Hasenbergl","deutsch",3055
2015,"24 Feldmoching - Hasenbergl","nichtdeutsch",5133
2015,"25 Laim","deutsch",4135
2015,"25 Laim","nichtdeutsch",3842
2016,"01 Altstadt - Lehel","deutsch",1974
2016,"01 Altstadt - Lehel","nichtdeutsch",1887
2016,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",4845
2016,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",5804
2016,"03 Maxvorstadt","deutsch",5382
2016,"03 Maxvorstadt","nichtdeutsch",5345
2016,"04 Schwabing - West","deutsch",6217
2016,"04 Schwabing - West","nichtdeutsch",4558
2016,"05 Au - Haidhausen","deutsch",4924
2016,"05 Au - Haidhausen","nichtdeutsch",4085
2016,"06 Sendling","deutsch",3210
2016,"06 Sendling","nichtdeutsch",2575
2016,"07 Sendling - Westpark","deutsch",4339
2016,"07 Sendling - Westpark","nichtdeutsch",3912
2016,"08 Schwanthalerhöhe","deutsch",2184
2016,"08 Schwanthalerhöhe","nichtdeutsch",2127
2016,"09 Neuhausen - Nymphenburg","deutsch",7676
2016,"09 Neuhausen - Nymphenburg","nichtdeutsch",6332
2016,"10 Moosach","deutsch",3194
2016,"10 Moosach","nichtdeutsch",4505
2016,"11 Milbertshofen - Am Hart","deutsch",4303
2016,"11 Milbertshofen - Am Hart","nichtdeutsch",8599
2016,"12 Schwabing - Freimann","deutsch",6665
2016,"12 Schwabing - Freimann","nichtdeutsch",12710
2016,"13 Bogenhausen","deutsch",5464
2016,"13 Bogenhausen","nichtdeutsch",6732
2016,"14 Berg am Laim","deutsch",2820
2016,"14 Berg am Laim","nichtdeutsch",2903
2016,"15 Trudering - Riem","deutsch",4091
2016,"15 Trudering - Riem","nichtdeutsch",4970
2016,"16 Ramersdorf - Perlach","deutsch",5623
2016,"16 Ramersdorf - Perlach","nichtdeutsch",7812
2016,"17 Obergiesing - Fasangarten","deutsch",3738
2016,"17 Obergiesing - Fasangarten","nichtdeutsch",4140
2016,"18 Untergiesing - Harlaching","deutsch",4295
2016,"18 Untergiesing - Harlaching","nichtdeutsch",4024
2016,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6024
2016,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",8367
2016,"20 Hadern","deutsch",2805
2016,"20 Hadern","nichtdeutsch",3807
2016,"21 Pasing - Obermenzing","deutsch",5244
2016,"21 Pasing - Obermenzing","nichtdeutsch",5251
2016,"22 Aubing - Lochhausen - Langwied","deutsch",2714
2016,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",4669
2016,"23 Allach - Untermenzing","deutsch",1921
2016,"23 Allach - Untermenzing","nichtdeutsch",2380
2016,"24 Feldmoching - Hasenbergl","deutsch",2961
2016,"24 Feldmoching - Hasenbergl","nichtdeutsch",5027
2016,"25 Laim","deutsch",4062
2016,"25 Laim","nichtdeutsch",3861
2017,"01 Altstadt - Lehel","deutsch",1808
2017,"01 Altstadt - Lehel","nichtdeutsch",1716
2017,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",4773
2017,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",5286
2017,"03 Maxvorstadt","deutsch",5277
2017,"03 Maxvorstadt","nichtdeutsch",4483
2017,"04 Schwabing - West","deutsch",5852
2017,"04 Schwabing - West","nichtdeutsch",4446
2017,"05 Au - Haidhausen","deutsch",5242
2017,"05 Au - Haidhausen","nichtdeutsch",3916
2017,"06 Sendling","deutsch",3191
2017,"06 Sendling","nichtdeutsch",2484
2017,"07 Sendling - Westpark","deutsch",4100
2017,"07 Sendling - Westpark","nichtdeutsch",3902
2017,"08 Schwanthalerhöhe","deutsch",2042
2017,"08 Schwanthalerhöhe","nichtdeutsch",2266
2017,"09 Neuhausen - Nymphenburg","deutsch",7081
2017,"09 Neuhausen - Nymphenburg","nichtdeutsch",6115
2017,"10 Moosach","deutsch",3094
2017,"10 Moosach","nichtdeutsch",4384
2017,"11 Milbertshofen - Am Hart","deutsch",4143
2017,"11 Milbertshofen - Am Hart","nichtdeutsch",7685
2017,"12 Schwabing - Freimann","deutsch",6212
2017,"12 Schwabing - Freimann","nichtdeutsch",11351
2017,"13 Bogenhausen","deutsch",5474
2017,"13 Bogenhausen","nichtdeutsch",5150
2017,"14 Berg am Laim","deutsch",2698
2017,"14 Berg am Laim","nichtdeutsch",2975
2017,"15 Trudering - Riem","deutsch",4512
2017,"15 Trudering - Riem","nichtdeutsch",4712
2017,"16 Ramersdorf - Perlach","deutsch",6442
2017,"16 Ramersdorf - Perlach","nichtdeutsch",7775
2017,"17 Obergiesing - Fasangarten","deutsch",3668
2017,"17 Obergiesing - Fasangarten","nichtdeutsch",4426
2017,"18 Untergiesing - Harlaching","deutsch",3986
2017,"18 Untergiesing - Harlaching","nichtdeutsch",3492
2017,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",5994
2017,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7429
2017,"20 Hadern","deutsch",2614
2017,"20 Hadern","nichtdeutsch",3422
2017,"21 Pasing - Obermenzing","deutsch",4579
2017,"21 Pasing - Obermenzing","nichtdeutsch",5102
2017,"22 Aubing - Lochhausen - Langwied","deutsch",2545
2017,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",4529
2017,"23 Allach - Untermenzing","deutsch",1811
2017,"23 Allach - Untermenzing","nichtdeutsch",3096
2017,"24 Feldmoching - Hasenbergl","deutsch",2773
2017,"24 Feldmoching - Hasenbergl","nichtdeutsch",4441
2017,"25 Laim","deutsch",3734
2017,"25 Laim","nichtdeutsch",3924
2018,"01 Altstadt - Lehel","deutsch",1922
2018,"01 Altstadt - Lehel","nichtdeutsch",1761
2018,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",4880
2018,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4889
2018,"03 Maxvorstadt","deutsch",5509
2018,"03 Maxvorstadt","nichtdeutsch",4272
2018,"04 Schwabing - West","deutsch",5694
2018,"04 Schwabing - West","nichtdeutsch",4422
2018,"05 Au - Haidhausen","deutsch",5018
2018,"05 Au - Haidhausen","nichtdeutsch",3852
2018,"06 Sendling","deutsch",3134
2018,"06 Sendling","nichtdeutsch",2455
2018,"07 Sendling - Westpark","deutsch",3607
2018,"07 Sendling - Westpark","nichtdeutsch",3474
2018,"08 Schwanthalerhöhe","deutsch",2159
2018,"08 Schwanthalerhöhe","nichtdeutsch",2131
2018,"09 Neuhausen - Nymphenburg","deutsch",7508
2018,"09 Neuhausen - Nymphenburg","nichtdeutsch",6370
2018,"10 Moosach","deutsch",3086
2018,"10 Moosach","nichtdeutsch",4391
2018,"11 Milbertshofen - Am Hart","deutsch",4140
2018,"11 Milbertshofen - Am Hart","nichtdeutsch",7745
2018,"12 Schwabing - Freimann","deutsch",6252
2018,"12 Schwabing - Freimann","nichtdeutsch",10691
2018,"13 Bogenhausen","deutsch",6156
2018,"13 Bogenhausen","nichtdeutsch",5683
2018,"14 Berg am Laim","deutsch",2532
2018,"14 Berg am Laim","nichtdeutsch",2853
2018,"15 Trudering - Riem","deutsch",4120
2018,"15 Trudering - Riem","nichtdeutsch",4271
2018,"16 Ramersdorf - Perlach","deutsch",5890
2018,"16 Ramersdorf - Perlach","nichtdeutsch",7934
2018,"17 Obergiesing - Fasangarten","deutsch",3922
2018,"17 Obergiesing - Fasangarten","nichtdeutsch",4325
2018,"18 Untergiesing - Harlaching","deutsch",3986
2018,"18 Untergiesing - Harlaching","nichtdeutsch",3339
2018,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6417
2018,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7122
2018,"20 Hadern","deutsch",2656
2018,"20 Hadern","nichtdeutsch",3596
2018,"21 Pasing - Obermenzing","deutsch",4866
2018,"21 Pasing - Obermenzing","nichtdeutsch",5215
2018,"22 Aubing - Lochhausen - Langwied","deutsch",2848
2018,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",4425
2018,"23 Allach - Untermenzing","deutsch",2036
2018,"23 Allach - Untermenzing","nichtdeutsch",2915
2018,"24 Feldmoching - Hasenbergl","deutsch",2876
2018,"24 Feldmoching - Hasenbergl","nichtdeutsch",4601
2018,"25 Laim","deutsch",3645
2018,"25 Laim","nichtdeutsch",3705
2019,"01 Altstadt - Lehel","deutsch",1903
2019,"01 Altstadt - Lehel","nichtdeutsch",1475
2019,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",4784
2019,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4511
2019,"03 Maxvorstadt","deutsch",5409
2019,"03 Maxvorstadt","nichtdeutsch",4242
2019,"04 Schwabing - West","deutsch",5773
2019,"04 Schwabing - West","nichtdeutsch",4440
2019,"05 Au - Haidhausen","deutsch",4915
2019,"05 Au - Haidhausen","nichtdeutsch",3755
2019,"06 Sendling","deutsch",2993
2019,"06 Sendling","nichtdeutsch",2658
2019,"07 Sendling - Westpark","deutsch",3878
2019,"07 Sendling - Westpark","nichtdeutsch",3935
2019,"08 Schwanthalerhöhe","deutsch",2140
2019,"08 Schwanthalerhöhe","nichtdeutsch",1939
2019,"09 Neuhausen - Nymphenburg","deutsch",7661
2019,"09 Neuhausen - Nymphenburg","nichtdeutsch",6930
2019,"10 Moosach","deutsch",3097
2019,"10 Moosach","nichtdeutsch",4625
2019,"11 Milbertshofen - Am Hart","deutsch",4469
2019,"11 Milbertshofen - Am Hart","nichtdeutsch",8264
2019,"12 Schwabing - Freimann","deutsch",5596
2019,"12 Schwabing - Freimann","nichtdeutsch",9429
2019,"13 Bogenhausen","deutsch",6442
2019,"13 Bogenhausen","nichtdeutsch",5733
2019,"14 Berg am Laim","deutsch",2797
2019,"14 Berg am Laim","nichtdeutsch",3298
2019,"15 Trudering - Riem","deutsch",4015
2019,"15 Trudering - Riem","nichtdeutsch",4341
2019,"16 Ramersdorf - Perlach","deutsch",5684
2019,"16 Ramersdorf - Perlach","nichtdeutsch",8458
2019,"17 Obergiesing - Fasangarten","deutsch",3615
2019,"17 Obergiesing - Fasangarten","nichtdeutsch",3984
2019,"18 Untergiesing - Harlaching","deutsch",3925
2019,"18 Untergiesing - Harlaching","nichtdeutsch",3261
2019,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6315
2019,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",7218
2019,"20 Hadern","deutsch",2506
2019,"20 Hadern","nichtdeutsch",3705
2019,"21 Pasing - Obermenzing","deutsch",5170
2019,"21 Pasing - Obermenzing","nichtdeutsch",5777
2019,"22 Aubing - Lochhausen - Langwied","deutsch",2761
2019,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",4306
2019,"23 Allach - Untermenzing","deutsch",2155
2019,"23 Allach - Untermenzing","nichtdeutsch",3283
2019,"24 Feldmoching - Hasenbergl","deutsch",2812
2019,"24 Feldmoching - Hasenbergl","nichtdeutsch",4577
2019,"25 Laim","deutsch",3733
2019,"25 Laim","nichtdeutsch",3757
2020,"01 Altstadt - Lehel","deutsch",1860
2020,"01 Altstadt - Lehel","nichtdeutsch",1183
2020,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",4643
2020,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",3626
2020,"03 Maxvorstadt","deutsch",5368
2020,"03 Maxvorstadt","nichtdeutsch",3576
2020,"04 Schwabing - West","deutsch",5891
