"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2024,"07 Sendling - Westpark",176.1,"3",1865,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"07 Sendling - Westpark",176.1,"4",2105,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"07 Sendling - Westpark",176.1,"5",42584.6,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,"1",764,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,"2",1089,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,"3",869,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,"4",1173,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,"5",19441,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,"1",2883,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,"2",4252,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,"3",2994,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,"4",4112,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,"5",74400.5,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,"1",1031,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,"2",1512,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,"3",1487,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,"4",1714,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,"5",36661,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,"1",1576,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,"2",1876,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,"3",1907,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,"4",2271,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,"5",43590.2,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,"1",2348,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,"2",2695,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,"3",2574,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,"4",3012,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,"5",53356.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,"1",2100,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,"2",2896,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,"3",2699,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,"4",2889,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,"5",67605.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,"1",853,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,"2",1263,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
