"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"25","Laim",4220,2009,3003,7223
"1","Altstadt - Lehel",2005,2010,1418,3423
"2","Ludwigsvorstadt - Isarvorstadt",5830,2010,4205,10035
"3","Maxvorstadt",5802,2010,4523,10325
"4","Schwabing - West",6022,2010,3703,9725
"5","Au - Haidhausen",5319,2010,3515,8834
"6","Sendling",3674,2010,2275,5949
"7","Sendling - Westpark",4132,2010,2654,6786
"8","Schwanthalerhöhe",3057,2010,1851,4908
"9","Neuhausen - Nymphenburg",7779,2010,5475,13254
"10","Moosach",3724,2010,3976,7700
"11","Milbertshofen - Am Hart",7049,2010,4345,11394
"12","Schwabing - Freimann",6066,2010,4584,10650
"13","Bogenhausen",5305,2010,4210,9515
"14","Berg am Laim",3396,2010,2089,5485
"15","Trudering - Riem",3683,2010,3165,6848
"16","Ramersdorf - Perlach",7076,2010,5047,12123
"17","Obergiesing - Fasangarten",4934,2010,3877,8811
"18","Untergiesing - Harlaching",4544,2010,2887,7431
"19","Thalkirchen",6188,2010,5998,12186
"20","Hadern",3376,2010,2334,5710
"21","Pasing - Obermenzing",4874,2010,3535,8409
"22","Aubing",2243,2010,1848,4091
"23","Allach - Untermenzing",1778,2010,1439,3217
"24","Feldmoching - Hasenbergl",3491,2010,2845,6336
"25","Laim",4347,2010,2662,7009
"1","Altstadt - Lehel",1954,2011,1389,3343
"2","Ludwigsvorstadt - Isarvorstadt",5649,2011,4292,9941
"3","Maxvorstadt",5655,2011,3631,9286
"4","Schwabing - West",5843,2011,3886,9729
"5","Au - Haidhausen",5364,2011,3447,8811
"6","Sendling",3565,2011,2307,5872
"7","Sendling - Westpark",4252,2011,2711,6963
"8","Schwanthalerhöhe",2824,2011,1731,4555
"9","Neuhausen - Nymphenburg",7624,2011,5532,13156
"10","Moosach",3731,2011,2946,6677
"11","Milbertshofen - Am Hart",6782,2011,4286,11068
"12","Schwabing - Freimann",5965,2011,4872,10837
"13","Bogenhausen",5405,2011,4112,9517
"14","Berg am Laim",3300,2011,2112,5412
"15","Trudering - Riem",3626,2011,3381,7007
"16","Ramersdorf - Perlach",7110,2011,5265,12375
"17","Obergiesing - Fasangarten",4525,2011,3860,8385
"18","Untergiesing - Harlaching",4367,2011,2857,7224
"19","Thalkirchen",6135,2011,6322,12457
"20","Hadern",3241,2011,2381,5622
"21","Pasing - Obermenzing",4476,2011,3589,8065
"22","Aubing",2188,2011,1937,4125
"23","Allach - Untermenzing",1785,2011,1615,3400
"24","Feldmoching - Hasenbergl",3486,2011,2897,6383
"25","Laim",4032,2011,2845,6877
"1","Altstadt - Lehel",1919,2012,1632,3551
"2","Ludwigsvorstadt - Isarvorstadt",5523,2012,4304,9827
"3","Maxvorstadt",5340,2012,3861,9201
"4","Schwabing - West",5782,2012,4054,9836
