"Anfangsbezirk_Nr","Anfangsbezirk","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"2","Ludwigsvorstadt - Isarvorstadt",2023,4897,9758,677,943,3241
"3","Maxvorstadt",2023,5126,10416,766,1531,2993
"4","Schwabing - West",2023,4631,10069,976,1706,2756
"5","Au - Haidhausen",2023,4148,8878,907,1382,2441
"6","Sendling",2023,2576,5618,447,885,1710
"7","Sendling - Westpark",2023,3570,7622,627,1146,2279
"8","Schwanthalerhöhe",2023,1863,4057,305,702,1187
"9","Neuhausen - Nymphenburg",2023,6412,13447,1866,2035,3134
"10","Moosach",2023,3624,7616,764,1214,2014
"11","Milbertshofen - Am Hart",2023,6065,12063,1186,1771,3041
"12","Schwabing - Freimann",2023,13402,30675,10339,2979,3955
"13","Bogenhausen",2023,7117,12961,1687,1108,3049
"14","Berg am Laim",2023,2923,5797,440,980,1454
"15","Trudering - Riem",2023,5101,9206,1231,881,1993
"16","Ramersdorf - Perlach",2023,7244,14327,2086,1377,3620
"17","Obergiesing - Fasangarten",2023,3987,7753,637,888,2241
"18","Untergiesing - Harlaching",2023,3471,7176,833,905,1967
"19","Thalkirchen",2023,6942,13694,1907,995,3850
"20","Hadern",2023,3193,6214,735,733,1553
"21","Pasing - Obermenzing",2023,5082,10388,1440,1467,2399
"22","Aubing",2023,3887,6934,948,394,1705
"23","Allach - Untermenzing",2023,2745,4879,459,561,1114
"24","Feldmoching - Hasenbergl",2023,4025,7509,913,570,2001
"25","Laim",2023,3490,7452,766,1050,2146
"1","Altstadt - Lehel",2024,1593,3364,195,629,947
"2","Ludwigsvorstadt - Isarvorstadt",2024,3575,8273,721,933,3044
"3","Maxvorstadt",2024,3970,9109,696,1540,2903
"4","Schwabing - West",2024,4093,9374,1038,1731,2512
"5","Au - Haidhausen",2024,3230,7475,788,1277,2180
"6","Sendling",2024,2130,5140,416,898,1696
"7","Sendling - Westpark",2024,3266,7628,763,1174,2425
"8","Schwanthalerhöhe",2024,1669,3948,323,663,1293
"9","Neuhausen - Nymphenburg",2024,5233,12023,1716,2015,3059
"10","Moosach",2024,3134,6859,703,1110,1912
"11","Milbertshofen - Am Hart",2024,5125,10680,1116,1590,2849
"12","Schwabing - Freimann",2024,7532,19596,6284,2280,3500
"13","Bogenhausen",2024,5681,11317,1737,956,2943
"14","Berg am Laim",2024,2386,5502,425,1094,1597
"15","Trudering - Riem",2024,4054,8350,1168,877,2251
"16","Ramersdorf - Perlach",2024,5702,12345,1958,1332,3353
"17","Obergiesing - Fasangarten",2024,3433,6942,603,784,2122
"18","Untergiesing - Harlaching",2024,3049,6454,749,861,1795
"19","Thalkirchen",2024,5945,12546,2064,989,3548
"20","Hadern",2024,2852,5822,732,772,1466
"21","Pasing - Obermenzing",2024,4467,9546,1386,1481,2212
"22","Aubing",2024,3392,6700,979,427,1902
"23","Allach - Untermenzing",2024,2006,4154,560,639,949
"24","Feldmoching - Hasenbergl",2024,3295,6896,947,605,2049
"25","Laim",2024,2959,6870,763,1092,2056
