"Anfangsbezirk_Nr","Anfangsbezirk","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"11","Milbertshofen - Am Hart",2009,5176,11790,2189,1888,2537
"12","Schwabing - Freimann",2009,5486,11424,1696,1671,2571
"13","Bogenhausen",2009,5068,10506,2183,1124,2131
"14","Berg am Laim",2009,2465,5884,861,1182,1376
"15","Trudering - Riem",2009,3586,7268,1612,780,1290
"16","Ramersdorf - Perlach",2009,5987,12772,2394,1672,2719
"17","Obergiesing - Fasangarten",2009,4524,8868,1013,1016,2315
"18","Untergiesing - Harlaching",2009,3616,8254,1213,1242,2183
"19","Thalkirchen",2009,6541,13076,2355,1114,3066
"20","Hadern",2009,2704,6005,1166,728,1407
"21","Pasing - Obermenzing",2009,4173,8694,1533,1176,1812
"22","Aubing",2009,2042,4297,831,319,1105
"23","Allach - Untermenzing",2009,1684,3590,628,457,821
"24","Feldmoching - Hasenbergl",2009,3677,7189,1297,594,1621
"25","Laim",2009,3003,7223,1153,1206,1861
"1","Altstadt - Lehel",2010,1418,3423,314,772,919
"2","Ludwigsvorstadt - Isarvorstadt",2010,4205,10035,1281,1321,3228
"3","Maxvorstadt",2010,4523,10325,1185,1825,2792
"4","Schwabing - West",2010,3703,9725,1487,1861,2674
"5","Au - Haidhausen",2010,3515,8834,1350,1589,2380
"6","Sendling",2010,2275,5949,685,1147,1842
"7","Sendling - Westpark",2010,2654,6786,978,1140,2014
"8","Schwanthalerhöhe",2010,1851,4908,715,951,1391
"9","Neuhausen - Nymphenburg",2010,5475,13254,2542,2239,2998
"10","Moosach",2010,3976,7700,976,1081,1667
"11","Milbertshofen - Am Hart",2010,4345,11394,2522,1869,2658
"12","Schwabing - Freimann",2010,4584,10650,1841,1746,2479
"13","Bogenhausen",2010,4210,9515,2063,1155,2087
"14","Berg am Laim",2010,2089,5485,902,1119,1375
"15","Trudering - Riem",2010,3165,6848,1527,788,1368
"16","Ramersdorf - Perlach",2010,5047,12123,2681,1489,2906
"17","Obergiesing - Fasangarten",2010,3877,8811,1162,1204,2568
"18","Untergiesing - Harlaching",2010,2887,7431,1200,1156,2188
"19","Thalkirchen",2010,5998,12186,2231,1100,2857
"20","Hadern",2010,2334,5710,1128,777,1471
"21","Pasing - Obermenzing",2010,3535,8409,1650,1290,1934
"22","Aubing",2010,1848,4091,850,263,1130
"23","Allach - Untermenzing",2010,1439,3217,565,435,778
"24","Feldmoching - Hasenbergl",2010,2845,6336,1285,619,1587
"25","Laim",2010,2662,7009,1152,1130,2065
"1","Altstadt - Lehel",2011,1389,3343,282,750,922
"2","Ludwigsvorstadt - Isarvorstadt",2011,4292,9941,1069,1238,3342
"3","Maxvorstadt",2011,3631,9286,1098,1842,2715
"4","Schwabing - West",2011,3886,9729,1263,1892,2688
"5","Au - Haidhausen",2011,3447,8811,1416,1540,2408
"6","Sendling",2011,2307,5872,655,1128,1782
"7","Sendling - Westpark",2011,2711,6963,943,1247,2062
"8","Schwanthalerhöhe",2011,1731,4555,605,895,1324
"9","Neuhausen - Nymphenburg",2011,5532,13156,2468,2219,2937
"10","Moosach",2011,2946,6677,1003,1066,1662
"11","Milbertshofen - Am Hart",2011,4286,11068,2098,1937,2747
"12","Schwabing - Freimann",2011,4872,10837,1656,1621,2688
"13","Bogenhausen",2011,4112,9517,2084,1206,2115
"14","Berg am Laim",2011,2112,5412,796,1112,1392
"15","Trudering - Riem",2011,3381,7007,1481,751,1394
"16","Ramersdorf - Perlach",2011,5265,12375,2433,1653,3024
"17","Obergiesing - Fasangarten",2011,3860,8385,985,1007,2533
"18","Untergiesing - Harlaching",2011,2857,7224,1166,1132,2069
"19","Thalkirchen",2011,6322,12457,2230,980,2925
"20","Hadern",2011,2381,5622,1007,734,1500
"21","Pasing - Obermenzing",2011,3589,8065,1483,1183,1810
"22","Aubing",2011,1937,4125,820,276,1092
"23","Allach - Untermenzing",2011,1615,3400,477,439,869
"24","Feldmoching - Hasenbergl",2011,2897,6383,1233,657,1596
"25","Laim",2011,2845,6877,998,1130,1904
"1","Altstadt - Lehel",2012,1632,3551,276,719,924
"2","Ludwigsvorstadt - Isarvorstadt",2012,4304,9827,1052,1291,3180
"3","Maxvorstadt",2012,3861,9201,986,1688,2666
