"Anfangsbezirk_Nr","Jahr","Anfangsbezirk","Umzugsbezirk","Anzahl"
"6",2006,"06 Sendling","24 Feldmoching - Hasenbergl",58
"6",2006,"06 Sendling","25 Laim",104
"7",2006,"07 Sendling - Westpark","01 Altstadt - Lehel",27
"7",2006,"07 Sendling - Westpark","02 Ludwigsvorstadt - Isarvorstadt",124
"7",2006,"07 Sendling - Westpark","03 Maxvorstadt",104
"7",2006,"07 Sendling - Westpark","04 Schwabing - West",112
"7",2006,"07 Sendling - Westpark","05 Au - Haidhausen",105
"7",2006,"07 Sendling - Westpark","06 Sendling",208
"7",2006,"07 Sendling - Westpark","07 Sendling - Westpark",1041
"7",2006,"07 Sendling - Westpark","08 Schwanthalerhöhe",92
"7",2006,"07 Sendling - Westpark","09 Neuhausen - Nymphenburg",156
"7",2006,"07 Sendling - Westpark","10 Moosach",82
"7",2006,"07 Sendling - Westpark","11 Milbertshofen - Am Hart",147
"7",2006,"07 Sendling - Westpark","12 Schwabing - Freimann",93
"7",2006,"07 Sendling - Westpark","13 Bogenhausen",83
"7",2006,"07 Sendling - Westpark","14 Berg am Laim",45
"7",2006,"07 Sendling - Westpark","15 Trudering - Riem",86
"7",2006,"07 Sendling - Westpark","16 Ramersdorf - Perlach",175
"7",2006,"07 Sendling - Westpark","17 Obergiesing - Fasangarten",112
"7",2006,"07 Sendling - Westpark","18 Untergiesing - Harlaching",126
"7",2006,"07 Sendling - Westpark","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",385
"7",2006,"07 Sendling - Westpark","20 Hadern",225
"7",2006,"07 Sendling - Westpark","21 Pasing - Obermenzing",111
"7",2006,"07 Sendling - Westpark","22 Aubing - Lochhausen - Langwied",55
"7",2006,"07 Sendling - Westpark","23 Allach - Untermenzing",33
"7",2006,"07 Sendling - Westpark","24 Feldmoching - Hasenbergl",49
"7",2006,"07 Sendling - Westpark","25 Laim",173
"8",2006,"08 Schwanthalerhöhe","01 Altstadt - Lehel",32
"8",2006,"08 Schwanthalerhöhe","02 Ludwigsvorstadt - Isarvorstadt",149
"8",2006,"08 Schwanthalerhöhe","03 Maxvorstadt",121
"8",2006,"08 Schwanthalerhöhe","04 Schwabing - West",100
"8",2006,"08 Schwanthalerhöhe","05 Au - Haidhausen",107
"8",2006,"08 Schwanthalerhöhe","06 Sendling",88
"8",2006,"08 Schwanthalerhöhe","07 Sendling - Westpark",95
"8",2006,"08 Schwanthalerhöhe","08 Schwanthalerhöhe",652
"8",2006,"08 Schwanthalerhöhe","09 Neuhausen - Nymphenburg",148
"8",2006,"08 Schwanthalerhöhe","10 Moosach",54
"8",2006,"08 Schwanthalerhöhe","11 Milbertshofen - Am Hart",82
"8",2006,"08 Schwanthalerhöhe","12 Schwabing - Freimann",65
"8",2006,"08 Schwanthalerhöhe","13 Bogenhausen",58
"8",2006,"08 Schwanthalerhöhe","14 Berg am Laim",51
"8",2006,"08 Schwanthalerhöhe","15 Trudering - Riem",72
"8",2006,"08 Schwanthalerhöhe","16 Ramersdorf - Perlach",107
"8",2006,"08 Schwanthalerhöhe","17 Obergiesing - Fasangarten",78
"8",2006,"08 Schwanthalerhöhe","18 Untergiesing - Harlaching",80
"8",2006,"08 Schwanthalerhöhe","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",105
"8",2006,"08 Schwanthalerhöhe","20 Hadern",65
"8",2006,"08 Schwanthalerhöhe","21 Pasing - Obermenzing",76
"8",2006,"08 Schwanthalerhöhe","22 Aubing - Lochhausen - Langwied",43
"8",2006,"08 Schwanthalerhöhe","23 Allach - Untermenzing",25
"8",2006,"08 Schwanthalerhöhe","24 Feldmoching - Hasenbergl",52
"8",2006,"08 Schwanthalerhöhe","25 Laim",128
"9",2006,"09 Neuhausen - Nymphenburg","01 Altstadt - Lehel",67
"9",2006,"09 Neuhausen - Nymphenburg","02 Ludwigsvorstadt - Isarvorstadt",272
"9",2006,"09 Neuhausen - Nymphenburg","03 Maxvorstadt",383
"9",2006,"09 Neuhausen - Nymphenburg","04 Schwabing - West",456
"9",2006,"09 Neuhausen - Nymphenburg","05 Au - Haidhausen",204
"9",2006,"09 Neuhausen - Nymphenburg","06 Sendling",167
"9",2006,"09 Neuhausen - Nymphenburg","07 Sendling - Westpark",211
"9",2006,"09 Neuhausen - Nymphenburg","08 Schwanthalerhöhe",178
"9",2006,"09 Neuhausen - Nymphenburg","09 Neuhausen - Nymphenburg",2447
"9",2006,"09 Neuhausen - Nymphenburg","10 Moosach",293
"9",2006,"09 Neuhausen - Nymphenburg","11 Milbertshofen - Am Hart",288
"9",2006,"09 Neuhausen - Nymphenburg","12 Schwabing - Freimann",263
"9",2006,"09 Neuhausen - Nymphenburg","13 Bogenhausen",170
"9",2006,"09 Neuhausen - Nymphenburg","14 Berg am Laim",105
"9",2006,"09 Neuhausen - Nymphenburg","15 Trudering - Riem",135
"9",2006,"09 Neuhausen - Nymphenburg","16 Ramersdorf - Perlach",217
"9",2006,"09 Neuhausen - Nymphenburg","17 Obergiesing - Fasangarten",164
"9",2006,"09 Neuhausen - Nymphenburg","18 Untergiesing - Harlaching",178
"9",2006,"09 Neuhausen - Nymphenburg","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",207
"9",2006,"09 Neuhausen - Nymphenburg","20 Hadern",124
"9",2006,"09 Neuhausen - Nymphenburg","21 Pasing - Obermenzing",405
"9",2006,"09 Neuhausen - Nymphenburg","22 Aubing - Lochhausen - Langwied",113
"9",2006,"09 Neuhausen - Nymphenburg","23 Allach - Untermenzing",147
"9",2006,"09 Neuhausen - Nymphenburg","24 Feldmoching - Hasenbergl",191
"9",2006,"09 Neuhausen - Nymphenburg","25 Laim",333
"10",2006,"10 Moosach","01 Altstadt - Lehel",18
"10",2006,"10 Moosach","02 Ludwigsvorstadt - Isarvorstadt",56
"10",2006,"10 Moosach","03 Maxvorstadt",72
"10",2006,"10 Moosach","04 Schwabing - West",151
"10",2006,"10 Moosach","05 Au - Haidhausen",55
"10",2006,"10 Moosach","06 Sendling",61
"10",2006,"10 Moosach","07 Sendling - Westpark",54
"10",2006,"10 Moosach","08 Schwanthalerhöhe",38
"10",2006,"10 Moosach","09 Neuhausen - Nymphenburg",226
"10",2006,"10 Moosach","10 Moosach",965
"10",2006,"10 Moosach","11 Milbertshofen - Am Hart",217
"10",2006,"10 Moosach","12 Schwabing - Freimann",123
"10",2006,"10 Moosach","13 Bogenhausen",93
"10",2006,"10 Moosach","14 Berg am Laim",44
"10",2006,"10 Moosach","15 Trudering - Riem",72
"10",2006,"10 Moosach","16 Ramersdorf - Perlach",109
"10",2006,"10 Moosach","17 Obergiesing - Fasangarten",51
"10",2006,"10 Moosach","18 Untergiesing - Harlaching",68
"10",2006,"10 Moosach","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",106
"10",2006,"10 Moosach","20 Hadern",53
"10",2006,"10 Moosach","21 Pasing - Obermenzing",106
"10",2006,"10 Moosach","22 Aubing - Lochhausen - Langwied",67
"10",2006,"10 Moosach","23 Allach - Untermenzing",146
"10",2006,"10 Moosach","24 Feldmoching - Hasenbergl",286
"10",2006,"10 Moosach","25 Laim",94
"11",2006,"11 Milbertshofen - Am Hart","01 Altstadt - Lehel",43
"11",2006,"11 Milbertshofen - Am Hart","02 Ludwigsvorstadt - Isarvorstadt",127
"11",2006,"11 Milbertshofen - Am Hart","03 Maxvorstadt",204
"11",2006,"11 Milbertshofen - Am Hart","04 Schwabing - West",357
"11",2006,"11 Milbertshofen - Am Hart","05 Au - Haidhausen",135
"11",2006,"11 Milbertshofen - Am Hart","06 Sendling",124
"11",2006,"11 Milbertshofen - Am Hart","07 Sendling - Westpark",150
"11",2006,"11 Milbertshofen - Am Hart","08 Schwanthalerhöhe",59
"11",2006,"11 Milbertshofen - Am Hart","09 Neuhausen - Nymphenburg",258
"11",2006,"11 Milbertshofen - Am Hart","10 Moosach",262
"11",2006,"11 Milbertshofen - Am Hart","11 Milbertshofen - Am Hart",2131
"11",2006,"11 Milbertshofen - Am Hart","12 Schwabing - Freimann",438
"11",2006,"11 Milbertshofen - Am Hart","13 Bogenhausen",161
"11",2006,"11 Milbertshofen - Am Hart","14 Berg am Laim",123
"11",2006,"11 Milbertshofen - Am Hart","15 Trudering - Riem",158
"11",2006,"11 Milbertshofen - Am Hart","16 Ramersdorf - Perlach",281
"11",2006,"11 Milbertshofen - Am Hart","17 Obergiesing - Fasangarten",151
"11",2006,"11 Milbertshofen - Am Hart","18 Untergiesing - Harlaching",142
"11",2006,"11 Milbertshofen - Am Hart","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",162
"11",2006,"11 Milbertshofen - Am Hart","20 Hadern",94
"11",2006,"11 Milbertshofen - Am Hart","21 Pasing - Obermenzing",117
"11",2006,"11 Milbertshofen - Am Hart","22 Aubing - Lochhausen - Langwied",80
"11",2006,"11 Milbertshofen - Am Hart","23 Allach - Untermenzing",68
"11",2006,"11 Milbertshofen - Am Hart","24 Feldmoching - Hasenbergl",543
"11",2006,"11 Milbertshofen - Am Hart","25 Laim",125
"12",2006,"12 Schwabing - Freimann","01 Altstadt - Lehel",104
"12",2006,"12 Schwabing - Freimann","02 Ludwigsvorstadt - Isarvorstadt",177
"12",2006,"12 Schwabing - Freimann","03 Maxvorstadt",344
"12",2006,"12 Schwabing - Freimann","04 Schwabing - West",516
"12",2006,"12 Schwabing - Freimann","05 Au - Haidhausen",184
"12",2006,"12 Schwabing - Freimann","06 Sendling",103
"12",2006,"12 Schwabing - Freimann","07 Sendling - Westpark",125
"12",2006,"12 Schwabing - Freimann","08 Schwanthalerhöhe",70
"12",2006,"12 Schwabing - Freimann","09 Neuhausen - Nymphenburg",246
"12",2006,"12 Schwabing - Freimann","10 Moosach",128
"12",2006,"12 Schwabing - Freimann","11 Milbertshofen - Am Hart",498
"12",2006,"12 Schwabing - Freimann","12 Schwabing - Freimann",1709
"12",2006,"12 Schwabing - Freimann","13 Bogenhausen",287
"12",2006,"12 Schwabing - Freimann","14 Berg am Laim",78
"12",2006,"12 Schwabing - Freimann","15 Trudering - Riem",108
"12",2006,"12 Schwabing - Freimann","16 Ramersdorf - Perlach",159
"12",2006,"12 Schwabing - Freimann","17 Obergiesing - Fasangarten",102
"12",2006,"12 Schwabing - Freimann","18 Untergiesing - Harlaching",123
"12",2006,"12 Schwabing - Freimann","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",132
"12",2006,"12 Schwabing - Freimann","20 Hadern",79
"12",2006,"12 Schwabing - Freimann","21 Pasing - Obermenzing",96
"12",2006,"12 Schwabing - Freimann","22 Aubing - Lochhausen - Langwied",64
"12",2006,"12 Schwabing - Freimann","23 Allach - Untermenzing",46
"12",2006,"12 Schwabing - Freimann","24 Feldmoching - Hasenbergl",186
"12",2006,"12 Schwabing - Freimann","25 Laim",115
"13",2006,"13 Bogenhausen","01 Altstadt - Lehel",102
"13",2006,"13 Bogenhausen","02 Ludwigsvorstadt - Isarvorstadt",145
"13",2006,"13 Bogenhausen","03 Maxvorstadt",157
"13",2006,"13 Bogenhausen","04 Schwabing - West",216
"13",2006,"13 Bogenhausen","05 Au - Haidhausen",224
"13",2006,"13 Bogenhausen","06 Sendling",79
"13",2006,"13 Bogenhausen","07 Sendling - Westpark",74
"13",2006,"13 Bogenhausen","08 Schwanthalerhöhe",59
"13",2006,"13 Bogenhausen","09 Neuhausen - Nymphenburg",159
"13",2006,"13 Bogenhausen","10 Moosach",58
"13",2006,"13 Bogenhausen","11 Milbertshofen - Am Hart",150
"13",2006,"13 Bogenhausen","12 Schwabing - Freimann",229
"13",2006,"13 Bogenhausen","13 Bogenhausen",2060
"13",2006,"13 Bogenhausen","14 Berg am Laim",148
"13",2006,"13 Bogenhausen","15 Trudering - Riem",339
"13",2006,"13 Bogenhausen","16 Ramersdorf - Perlach",232
"13",2006,"13 Bogenhausen","17 Obergiesing - Fasangarten",135
"13",2006,"13 Bogenhausen","18 Untergiesing - Harlaching",126
"13",2006,"13 Bogenhausen","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",120
"13",2006,"13 Bogenhausen","20 Hadern",51
"13",2006,"13 Bogenhausen","21 Pasing - Obermenzing",113
"13",2006,"13 Bogenhausen","22 Aubing - Lochhausen - Langwied",41
"13",2006,"13 Bogenhausen","23 Allach - Untermenzing",35
"13",2006,"13 Bogenhausen","24 Feldmoching - Hasenbergl",79
"13",2006,"13 Bogenhausen","25 Laim",75
"14",2006,"14 Berg am Laim","01 Altstadt - Lehel",15
"14",2006,"14 Berg am Laim","02 Ludwigsvorstadt - Isarvorstadt",74
"14",2006,"14 Berg am Laim","03 Maxvorstadt",62
"14",2006,"14 Berg am Laim","04 Schwabing - West",73
"14",2006,"14 Berg am Laim","05 Au - Haidhausen",147
"14",2006,"14 Berg am Laim","06 Sendling",62
"14",2006,"14 Berg am Laim","07 Sendling - Westpark",69
"14",2006,"14 Berg am Laim","08 Schwanthalerhöhe",45
"14",2006,"14 Berg am Laim","09 Neuhausen - Nymphenburg",98
"14",2006,"14 Berg am Laim","10 Moosach",50
"14",2006,"14 Berg am Laim","11 Milbertshofen - Am Hart",109
"14",2006,"14 Berg am Laim","12 Schwabing - Freimann",73
"14",2006,"14 Berg am Laim","13 Bogenhausen",177
"14",2006,"14 Berg am Laim","14 Berg am Laim",739
"14",2006,"14 Berg am Laim","15 Trudering - Riem",390
"14",2006,"14 Berg am Laim","16 Ramersdorf - Perlach",373
"14",2006,"14 Berg am Laim","17 Obergiesing - Fasangarten",141
"14",2006,"14 Berg am Laim","18 Untergiesing - Harlaching",95
"14",2006,"14 Berg am Laim","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",59
"14",2006,"14 Berg am Laim","20 Hadern",47
"14",2006,"14 Berg am Laim","21 Pasing - Obermenzing",46
"14",2006,"14 Berg am Laim","22 Aubing - Lochhausen - Langwied",35
"14",2006,"14 Berg am Laim","23 Allach - Untermenzing",13
"14",2006,"14 Berg am Laim","24 Feldmoching - Hasenbergl",58
"14",2006,"14 Berg am Laim","25 Laim",57
"15",2006,"15 Trudering - Riem","01 Altstadt - Lehel",22
"15",2006,"15 Trudering - Riem","02 Ludwigsvorstadt - Isarvorstadt",55
"15",2006,"15 Trudering - Riem","03 Maxvorstadt",60
"15",2006,"15 Trudering - Riem","04 Schwabing - West",74
"15",2006,"15 Trudering - Riem","05 Au - Haidhausen",114
"15",2006,"15 Trudering - Riem","06 Sendling",55
"15",2006,"15 Trudering - Riem","07 Sendling - Westpark",64
"15",2006,"15 Trudering - Riem","08 Schwanthalerhöhe",40
"15",2006,"15 Trudering - Riem","09 Neuhausen - Nymphenburg",74
"15",2006,"15 Trudering - Riem","10 Moosach",44
"15",2006,"15 Trudering - Riem","11 Milbertshofen - Am Hart",88
"15",2006,"15 Trudering - Riem","12 Schwabing - Freimann",82
"15",2006,"15 Trudering - Riem","13 Bogenhausen",158
"15",2006,"15 Trudering - Riem","14 Berg am Laim",215
"15",2006,"15 Trudering - Riem","15 Trudering - Riem",1312
"15",2006,"15 Trudering - Riem","16 Ramersdorf - Perlach",290
"15",2006,"15 Trudering - Riem","17 Obergiesing - Fasangarten",133
"15",2006,"15 Trudering - Riem","18 Untergiesing - Harlaching",67
"15",2006,"15 Trudering - Riem","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",81
"15",2006,"15 Trudering - Riem","20 Hadern",29
"15",2006,"15 Trudering - Riem","21 Pasing - Obermenzing",57
"15",2006,"15 Trudering - Riem","22 Aubing - Lochhausen - Langwied",13
"15",2006,"15 Trudering - Riem","23 Allach - Untermenzing",16
"15",2006,"15 Trudering - Riem","24 Feldmoching - Hasenbergl",43
"15",2006,"15 Trudering - Riem","25 Laim",43
"16",2006,"16 Ramersdorf - Perlach","01 Altstadt - Lehel",41
"16",2006,"16 Ramersdorf - Perlach","02 Ludwigsvorstadt - Isarvorstadt",166
"16",2006,"16 Ramersdorf - Perlach","03 Maxvorstadt",139
"16",2006,"16 Ramersdorf - Perlach","04 Schwabing - West",124
"16",2006,"16 Ramersdorf - Perlach","05 Au - Haidhausen",264
"16",2006,"16 Ramersdorf - Perlach","06 Sendling",130
"16",2006,"16 Ramersdorf - Perlach","07 Sendling - Westpark",136
"16",2006,"16 Ramersdorf - Perlach","08 Schwanthalerhöhe",95
"16",2006,"16 Ramersdorf - Perlach","09 Neuhausen - Nymphenburg",190
"16",2006,"16 Ramersdorf - Perlach","10 Moosach",91
"16",2006,"16 Ramersdorf - Perlach","11 Milbertshofen - Am Hart",181
"16",2006,"16 Ramersdorf - Perlach","12 Schwabing - Freimann",146
"16",2006,"16 Ramersdorf - Perlach","13 Bogenhausen",209
"16",2006,"16 Ramersdorf - Perlach","14 Berg am Laim",321
"16",2006,"16 Ramersdorf - Perlach","15 Trudering - Riem",646
"16",2006,"16 Ramersdorf - Perlach","16 Ramersdorf - Perlach",2576
"16",2006,"16 Ramersdorf - Perlach","17 Obergiesing - Fasangarten",483
"16",2006,"16 Ramersdorf - Perlach","18 Untergiesing - Harlaching",222
"16",2006,"16 Ramersdorf - Perlach","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",186
"16",2006,"16 Ramersdorf - Perlach","20 Hadern",82
"16",2006,"16 Ramersdorf - Perlach","21 Pasing - Obermenzing",121
"16",2006,"16 Ramersdorf - Perlach","22 Aubing - Lochhausen - Langwied",72
"16",2006,"16 Ramersdorf - Perlach","23 Allach - Untermenzing",53
"16",2006,"16 Ramersdorf - Perlach","24 Feldmoching - Hasenbergl",141
"16",2006,"16 Ramersdorf - Perlach","25 Laim",129
"17",2006,"17 Obergiesing - Fasangarten","01 Altstadt - Lehel",55
"17",2006,"17 Obergiesing - Fasangarten","02 Ludwigsvorstadt - Isarvorstadt",120
"17",2006,"17 Obergiesing - Fasangarten","03 Maxvorstadt",124
"17",2006,"17 Obergiesing - Fasangarten","04 Schwabing - West",123
"17",2006,"17 Obergiesing - Fasangarten","05 Au - Haidhausen",212
"17",2006,"17 Obergiesing - Fasangarten","06 Sendling",99
"17",2006,"17 Obergiesing - Fasangarten","07 Sendling - Westpark",114
"17",2006,"17 Obergiesing - Fasangarten","08 Schwanthalerhöhe",60
"17",2006,"17 Obergiesing - Fasangarten","09 Neuhausen - Nymphenburg",153
"17",2006,"17 Obergiesing - Fasangarten","10 Moosach",63
"17",2006,"17 Obergiesing - Fasangarten","11 Milbertshofen - Am Hart",149
"17",2006,"17 Obergiesing - Fasangarten","12 Schwabing - Freimann",98
"17",2006,"17 Obergiesing - Fasangarten","13 Bogenhausen",102
"17",2006,"17 Obergiesing - Fasangarten","14 Berg am Laim",162
"17",2006,"17 Obergiesing - Fasangarten","15 Trudering - Riem",229
"17",2006,"17 Obergiesing - Fasangarten","16 Ramersdorf - Perlach",411
"17",2006,"17 Obergiesing - Fasangarten","17 Obergiesing - Fasangarten",1109
"17",2006,"17 Obergiesing - Fasangarten","18 Untergiesing - Harlaching",344
"17",2006,"17 Obergiesing - Fasangarten","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",155
"17",2006,"17 Obergiesing - Fasangarten","20 Hadern",94
"17",2006,"17 Obergiesing - Fasangarten","21 Pasing - Obermenzing",76
"17",2006,"17 Obergiesing - Fasangarten","22 Aubing - Lochhausen - Langwied",22
"17",2006,"17 Obergiesing - Fasangarten","23 Allach - Untermenzing",20
"17",2006,"17 Obergiesing - Fasangarten","24 Feldmoching - Hasenbergl",67
"17",2006,"17 Obergiesing - Fasangarten","25 Laim",100
"18",2006,"18 Untergiesing - Harlaching","01 Altstadt - Lehel",36
"18",2006,"18 Untergiesing - Harlaching","02 Ludwigsvorstadt - Isarvorstadt",190
"18",2006,"18 Untergiesing - Harlaching","03 Maxvorstadt",85
"18",2006,"18 Untergiesing - Harlaching","04 Schwabing - West",120
"18",2006,"18 Untergiesing - Harlaching","05 Au - Haidhausen",258
"18",2006,"18 Untergiesing - Harlaching","06 Sendling",120
"18",2006,"18 Untergiesing - Harlaching","07 Sendling - Westpark",135
"18",2006,"18 Untergiesing - Harlaching","08 Schwanthalerhöhe",79
"18",2006,"18 Untergiesing - Harlaching","09 Neuhausen - Nymphenburg",125
"18",2006,"18 Untergiesing - Harlaching","10 Moosach",77
"18",2006,"18 Untergiesing - Harlaching","11 Milbertshofen - Am Hart",135
"18",2006,"18 Untergiesing - Harlaching","12 Schwabing - Freimann",106
"18",2006,"18 Untergiesing - Harlaching","13 Bogenhausen",128
"18",2006,"18 Untergiesing - Harlaching","14 Berg am Laim",117
"18",2006,"18 Untergiesing - Harlaching","15 Trudering - Riem",169
"18",2006,"18 Untergiesing - Harlaching","16 Ramersdorf - Perlach",318
"18",2006,"18 Untergiesing - Harlaching","17 Obergiesing - Fasangarten",375
"18",2006,"18 Untergiesing - Harlaching","18 Untergiesing - Harlaching",1166
"18",2006,"18 Untergiesing - Harlaching","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",208
"18",2006,"18 Untergiesing - Harlaching","20 Hadern",71
"18",2006,"18 Untergiesing - Harlaching","21 Pasing - Obermenzing",101
"18",2006,"18 Untergiesing - Harlaching","22 Aubing - Lochhausen - Langwied",34
"18",2006,"18 Untergiesing - Harlaching","23 Allach - Untermenzing",70
"18",2006,"18 Untergiesing - Harlaching","24 Feldmoching - Hasenbergl",58
"18",2006,"18 Untergiesing - Harlaching","25 Laim",93
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","01 Altstadt - Lehel",37
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","02 Ludwigsvorstadt - Isarvorstadt",189
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","03 Maxvorstadt",145
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","04 Schwabing - West",132
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","05 Au - Haidhausen",149
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","06 Sendling",240
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","07 Sendling - Westpark",316
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","08 Schwanthalerhöhe",80
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","09 Neuhausen - Nymphenburg",242
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","10 Moosach",113
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","11 Milbertshofen - Am Hart",167
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","12 Schwabing - Freimann",130
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","13 Bogenhausen",98
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","14 Berg am Laim",106
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","15 Trudering - Riem",209
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16 Ramersdorf - Perlach",318
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","17 Obergiesing - Fasangarten",149
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","18 Untergiesing - Harlaching",174
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2309
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","20 Hadern",243
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","21 Pasing - Obermenzing",191
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","22 Aubing - Lochhausen - Langwied",101
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","23 Allach - Untermenzing",69
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","24 Feldmoching - Hasenbergl",128
"19",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","25 Laim",168
"20",2006,"20 Hadern","01 Altstadt - Lehel",12
"20",2006,"20 Hadern","02 Ludwigsvorstadt - Isarvorstadt",71
"20",2006,"20 Hadern","03 Maxvorstadt",84
"20",2006,"20 Hadern","04 Schwabing - West",73
"20",2006,"20 Hadern","05 Au - Haidhausen",50
"20",2006,"20 Hadern","06 Sendling",76
"20",2006,"20 Hadern","07 Sendling - Westpark",172
"20",2006,"20 Hadern","08 Schwanthalerhöhe",40
"20",2006,"20 Hadern","09 Neuhausen - Nymphenburg",120
"20",2006,"20 Hadern","10 Moosach",40
"20",2006,"20 Hadern","11 Milbertshofen - Am Hart",108
"20",2006,"20 Hadern","12 Schwabing - Freimann",88
"20",2006,"20 Hadern","13 Bogenhausen",37
"20",2006,"20 Hadern","14 Berg am Laim",50
"20",2006,"20 Hadern","15 Trudering - Riem",39
"20",2006,"20 Hadern","16 Ramersdorf - Perlach",91
"20",2006,"20 Hadern","17 Obergiesing - Fasangarten",71
"20",2006,"20 Hadern","18 Untergiesing - Harlaching",65
"20",2006,"20 Hadern","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",240
"20",2006,"20 Hadern","20 Hadern",961
"20",2006,"20 Hadern","21 Pasing - Obermenzing",110
"20",2006,"20 Hadern","22 Aubing - Lochhausen - Langwied",59
"20",2006,"20 Hadern","23 Allach - Untermenzing",30
"20",2006,"20 Hadern","24 Feldmoching - Hasenbergl",35
"20",2006,"20 Hadern","25 Laim",171
"21",2006,"21 Pasing - Obermenzing","01 Altstadt - Lehel",34
"21",2006,"21 Pasing - Obermenzing","02 Ludwigsvorstadt - Isarvorstadt",97
"21",2006,"21 Pasing - Obermenzing","03 Maxvorstadt",132
"21",2006,"21 Pasing - Obermenzing","04 Schwabing - West",116
"21",2006,"21 Pasing - Obermenzing","05 Au - Haidhausen",86
"21",2006,"21 Pasing - Obermenzing","06 Sendling",59
"21",2006,"21 Pasing - Obermenzing","07 Sendling - Westpark",72
"21",2006,"21 Pasing - Obermenzing","08 Schwanthalerhöhe",45
"21",2006,"21 Pasing - Obermenzing","09 Neuhausen - Nymphenburg",237
"21",2006,"21 Pasing - Obermenzing","10 Moosach",136
"21",2006,"21 Pasing - Obermenzing","11 Milbertshofen - Am Hart",117
"21",2006,"21 Pasing - Obermenzing","12 Schwabing - Freimann",99
"21",2006,"21 Pasing - Obermenzing","13 Bogenhausen",88
"21",2006,"21 Pasing - Obermenzing","14 Berg am Laim",55
"21",2006,"21 Pasing - Obermenzing","15 Trudering - Riem",75
"21",2006,"21 Pasing - Obermenzing","16 Ramersdorf - Perlach",124
"21",2006,"21 Pasing - Obermenzing","17 Obergiesing - Fasangarten",87
"21",2006,"21 Pasing - Obermenzing","18 Untergiesing - Harlaching",80
"21",2006,"21 Pasing - Obermenzing","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",162
"21",2006,"21 Pasing - Obermenzing","20 Hadern",158
"21",2006,"21 Pasing - Obermenzing","21 Pasing - Obermenzing",1374
"21",2006,"21 Pasing - Obermenzing","22 Aubing - Lochhausen - Langwied",304
"21",2006,"21 Pasing - Obermenzing","23 Allach - Untermenzing",167
"21",2006,"21 Pasing - Obermenzing","24 Feldmoching - Hasenbergl",94
"21",2006,"21 Pasing - Obermenzing","25 Laim",259
"22",2006,"22 Aubing - Lochhausen - Langwied","01 Altstadt - Lehel",8
"22",2006,"22 Aubing - Lochhausen - Langwied","02 Ludwigsvorstadt - Isarvorstadt",47
"22",2006,"22 Aubing - Lochhausen - Langwied","03 Maxvorstadt",37
