"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"13","Bogenhausen",5880,2021,5726,11606,2022,1162,2696
"14","Berg am Laim",3171,2021,2926,6097,495,1136,1540
"15","Trudering - Riem",4292,2021,4877,9169,1351,984,1957
"16","Ramersdorf - Perlach",7168,2021,6757,13925,2144,1490,3534
"17","Obergiesing - Fasangarten",4232,2021,4229,8461,722,953,2557
"18","Untergiesing - Harlaching",4029,2021,3501,7530,967,1098,1964
"19","Thalkirchen",6722,2021,6402,13124,2250,1104,3368
"20","Hadern",3288,2021,2893,6181,903,867,1518
"21","Pasing - Obermenzing",5241,2021,4967,10208,1475,1404,2362
"22","Aubing",2702,2021,3080,5782,784,353,1565
"23","Allach - Untermenzing",1979,2021,2118,4097,512,539,928
"24","Feldmoching - Hasenbergl",3905,2021,3606,7511,1059,659,2187
"25","Laim",4744,2021,3718,8462,852,1389,2503
"1","Altstadt - Lehel",1793,2022,1747,3540,202,711,880
"2","Ludwigsvorstadt - Isarvorstadt",5680,2022,5032,10712,793,1124,3763
"3","Maxvorstadt",5710,2022,4809,10519,849,1713,3148
"4","Schwabing - West",6023,2022,4778,10801,1094,1843,3086
"5","Au - Haidhausen",5294,2022,4137,9431,1072,1494,2728
"6","Sendling",3010,2022,2674,5684,402,917,1691
"7","Sendling - Westpark",4416,2022,3554,7970,917,1142,2357
"8","Schwanthalerhöhe",2315,2022,1738,4053,334,776,1205
"9","Neuhausen - Nymphenburg",7647,2022,6314,13961,1854,2344,3449
"10","Moosach",4447,2022,3563,8010,919,1343,2185
"11","Milbertshofen - Am Hart",6249,2022,5784,12033,1378,1879,2992
"12","Schwabing - Freimann",13795,2022,10841,24636,7400,2559,3836
"13","Bogenhausen",5894,2022,6655,12549,1911,1212,2771
"14","Berg am Laim",3264,2022,2944,6208,589,946,1729
"15","Trudering - Riem",4456,2022,4949,9405,1306,882,2268
"16","Ramersdorf - Perlach",6950,2022,6824,13774,2113,1369,3468
"17","Obergiesing - Fasangarten",4073,2022,3800,7873,758,934,2381
"18","Untergiesing - Harlaching",3790,2022,3275,7065,842,969,1979
"19","Thalkirchen",7069,2022,6839,13908,2061,1152,3856
"20","Hadern",3145,2022,2974,6119,854,804,1487
"21","Pasing - Obermenzing",5308,2022,5185,10493,1527,1447,2334
"22","Aubing",3194,2022,3705,6899,980,422,1792
"23","Allach - Untermenzing",2011,2022,2258,4269,489,577,945
"24","Feldmoching - Hasenbergl",3659,2022,3529,7188,1000,735,1924
"25","Laim",4349,2022,3392,7741,833,1135,2381
"1","Altstadt - Lehel",1715,2023,1829,3544,219,614,882
"2","Ludwigsvorstadt - Isarvorstadt",4861,2023,4897,9758,677,943,3241
"3","Maxvorstadt",5290,2023,5126,10416,766,1531,2993
"4","Schwabing - West",5438,2023,4631,10069,976,1706,2756
"5","Au - Haidhausen",4730,2023,4148,8878,907,1382,2441
"6","Sendling",3042,2023,2576,5618,447,885,1710
"7","Sendling - Westpark",4052,2023,3570,7622,627,1146,2279
"8","Schwanthalerhöhe",2194,2023,1863,4057,305,702,1187
"9","Neuhausen - Nymphenburg",7035,2023,6412,13447,1866,2035,3134
"10","Moosach",3992,2023,3624,7616,764,1214,2014
"11","Milbertshofen - Am Hart",5998,2023,6065,12063,1186,1771,3041
"12","Schwabing - Freimann",17273,2023,13402,30675,10339,2979,3955
"13","Bogenhausen",5844,2023,7117,12961,1687,1108,3049
"14","Berg am Laim",2874,2023,2923,5797,440,980,1454
"15","Trudering - Riem",4105,2023,5101,9206,1231,881,1993
"16","Ramersdorf - Perlach",7083,2023,7244,14327,2086,1377,3620
"17","Obergiesing - Fasangarten",3766,2023,3987,7753,637,888,2241
"18","Untergiesing - Harlaching",3705,2023,3471,7176,833,905,1967
"19","Thalkirchen",6752,2023,6942,13694,1907,995,3850
"20","Hadern",3021,2023,3193,6214,735,733,1553
"21","Pasing - Obermenzing",5306,2023,5082,10388,1440,1467,2399
"22","Aubing",3047,2023,3887,6934,948,394,1705
"23","Allach - Untermenzing",2134,2023,2745,4879,459,561,1114
"24","Feldmoching - Hasenbergl",3484,2023,4025,7509,913,570,2001
"25","Laim",3962,2023,3490,7452,766,1050,2146
"1","Altstadt - Lehel",1771,2024,1593,3364,195,629,947
"2","Ludwigsvorstadt - Isarvorstadt",4698,2024,3575,8273,721,933,3044
"3","Maxvorstadt",5139,2024,3970,9109,696,1540,2903
"4","Schwabing - West",5281,2024,4093,9374,1038,1731,2512
"5","Au - Haidhausen",4245,2024,3230,7475,788,1277,2180
"6","Sendling",3010,2024,2130,5140,416,898,1696
"7","Sendling - Westpark",4362,2024,3266,7628,763,1174,2425
"8","Schwanthalerhöhe",2279,2024,1669,3948,323,663,1293
"9","Neuhausen - Nymphenburg",6790,2024,5233,12023,1716,2015,3059
"10","Moosach",3725,2024,3134,6859,703,1110,1912
"11","Milbertshofen - Am Hart",5555,2024,5125,10680,1116,1590,2849
"12","Schwabing - Freimann",12064,2024,7532,19596,6284,2280,3500
"13","Bogenhausen",5636,2024,5681,11317,1737,956,2943
"14","Berg am Laim",3116,2024,2386,5502,425,1094,1597
"15","Trudering - Riem",4296,2024,4054,8350,1168,877,2251
"16","Ramersdorf - Perlach",6643,2024,5702,12345,1958,1332,3353
"17","Obergiesing - Fasangarten",3509,2024,3433,6942,603,784,2122
"18","Untergiesing - Harlaching",3405,2024,3049,6454,749,861,1795
"19","Thalkirchen",6601,2024,5945,12546,2064,989,3548
"20","Hadern",2970,2024,2852,5822,732,772,1466
"21","Pasing - Obermenzing",5079,2024,4467,9546,1386,1481,2212
"22","Aubing",3308,2024,3392,6700,979,427,1902
"23","Allach - Untermenzing",2148,2024,2006,4154,560,639,949
"24","Feldmoching - Hasenbergl",3601,2024,3295,6896,947,605,2049
"25","Laim",3911,2024,2959,6870,763,1092,2056
