"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"18","Untergiesing - Harlaching",4585,2008,3037,7622,1259,1179,2147
"19","Thalkirchen",6331,2008,5329,11660,2480,1060,2791
"20","Hadern",3314,2008,2267,5581,1074,750,1490
"21","Pasing - Obermenzing",4335,2008,3707,8042,1562,1151,1622
"22","Aubing",2296,2008,1912,4208,854,265,1177
"23","Allach - Untermenzing",1755,2008,1440,3195,672,361,722
"24","Feldmoching - Hasenbergl",3681,2008,3139,6820,1528,607,1546
"25","Laim",4280,2008,2526,6806,1308,1160,1812
"1","Altstadt - Lehel",2028,2009,2021,4049,318,819,891
"2","Ludwigsvorstadt - Isarvorstadt",6282,2009,5847,12129,1302,1465,3515
"3","Maxvorstadt",5561,2009,4915,10476,1129,1779,2653
"4","Schwabing - West",6052,2009,4575,10627,1406,1879,2767
"5","Au - Haidhausen",5490,2009,4116,9606,1413,1537,2540
"6","Sendling",3654,2009,3026,6680,723,1166,1765
"7","Sendling - Westpark",4243,2009,3166,7409,1075,1248,1920
"8","Schwanthalerhöhe",2797,2009,2420,5217,660,860,1277
"9","Neuhausen - Nymphenburg",7917,2009,6582,14499,2808,2183,2926
"10","Moosach",3695,2009,3495,7190,1074,1118,1503
"11","Milbertshofen - Am Hart",6614,2009,5176,11790,2189,1888,2537
"12","Schwabing - Freimann",5938,2009,5486,11424,1696,1671,2571
"13","Bogenhausen",5438,2009,5068,10506,2183,1124,2131
"14","Berg am Laim",3419,2009,2465,5884,861,1182,1376
"15","Trudering - Riem",3682,2009,3586,7268,1612,780,1290
"16","Ramersdorf - Perlach",6785,2009,5987,12772,2394,1672,2719
"17","Obergiesing - Fasangarten",4344,2009,4524,8868,1013,1016,2315
"18","Untergiesing - Harlaching",4638,2009,3616,8254,1213,1242,2183
"19","Thalkirchen",6535,2009,6541,13076,2355,1114,3066
"20","Hadern",3301,2009,2704,6005,1166,728,1407
"21","Pasing - Obermenzing",4521,2009,4173,8694,1533,1176,1812
"22","Aubing",2255,2009,2042,4297,831,319,1105
"23","Allach - Untermenzing",1906,2009,1684,3590,628,457,821
"24","Feldmoching - Hasenbergl",3512,2009,3677,7189,1297,594,1621
"25","Laim",4220,2009,3003,7223,1153,1206,1861
"1","Altstadt - Lehel",2005,2010,1418,3423,314,772,919
"2","Ludwigsvorstadt - Isarvorstadt",5830,2010,4205,10035,1281,1321,3228
"3","Maxvorstadt",5802,2010,4523,10325,1185,1825,2792
"4","Schwabing - West",6022,2010,3703,9725,1487,1861,2674
"5","Au - Haidhausen",5319,2010,3515,8834,1350,1589,2380
"6","Sendling",3674,2010,2275,5949,685,1147,1842
"7","Sendling - Westpark",4132,2010,2654,6786,978,1140,2014
"8","Schwanthalerhöhe",3057,2010,1851,4908,715,951,1391
"9","Neuhausen - Nymphenburg",7779,2010,5475,13254,2542,2239,2998
"10","Moosach",3724,2010,3976,7700,976,1081,1667
"11","Milbertshofen - Am Hart",7049,2010,4345,11394,2522,1869,2658
"12","Schwabing - Freimann",6066,2010,4584,10650,1841,1746,2479
"13","Bogenhausen",5305,2010,4210,9515,2063,1155,2087
"14","Berg am Laim",3396,2010,2089,5485,902,1119,1375
"15","Trudering - Riem",3683,2010,3165,6848,1527,788,1368
"16","Ramersdorf - Perlach",7076,2010,5047,12123,2681,1489,2906
"17","Obergiesing - Fasangarten",4934,2010,3877,8811,1162,1204,2568
"18","Untergiesing - Harlaching",4544,2010,2887,7431,1200,1156,2188
"19","Thalkirchen",6188,2010,5998,12186,2231,1100,2857
"20","Hadern",3376,2010,2334,5710,1128,777,1471
"21","Pasing - Obermenzing",4874,2010,3535,8409,1650,1290,1934
"22","Aubing",2243,2010,1848,4091,850,263,1130
"23","Allach - Untermenzing",1778,2010,1439,3217,565,435,778
"24","Feldmoching - Hasenbergl",3491,2010,2845,6336,1285,619,1587
"25","Laim",4347,2010,2662,7009,1152,1130,2065
"1","Altstadt - Lehel",1954,2011,1389,3343,282,750,922
"2","Ludwigsvorstadt - Isarvorstadt",5649,2011,4292,9941,1069,1238,3342
"3","Maxvorstadt",5655,2011,3631,9286,1098,1842,2715
"4","Schwabing - West",5843,2011,3886,9729,1263,1892,2688
"5","Au - Haidhausen",5364,2011,3447,8811,1416,1540,2408
"6","Sendling",3565,2011,2307,5872,655,1128,1782
"7","Sendling - Westpark",4252,2011,2711,6963,943,1247,2062
"8","Schwanthalerhöhe",2824,2011,1731,4555,605,895,1324
"9","Neuhausen - Nymphenburg",7624,2011,5532,13156,2468,2219,2937
"10","Moosach",3731,2011,2946,6677,1003,1066,1662
"11","Milbertshofen - Am Hart",6782,2011,4286,11068,2098,1937,2747
"12","Schwabing - Freimann",5965,2011,4872,10837,1656,1621,2688
"13","Bogenhausen",5405,2011,4112,9517,2084,1206,2115
"14","Berg am Laim",3300,2011,2112,5412,796,1112,1392
"15","Trudering - Riem",3626,2011,3381,7007,1481,751,1394
"16","Ramersdorf - Perlach",7110,2011,5265,12375,2433,1653,3024
"17","Obergiesing - Fasangarten",4525,2011,3860,8385,985,1007,2533
"18","Untergiesing - Harlaching",4367,2011,2857,7224,1166,1132,2069
"19","Thalkirchen",6135,2011,6322,12457,2230,980,2925
"20","Hadern",3241,2011,2381,5622,1007,734,1500
"21","Pasing - Obermenzing",4476,2011,3589,8065,1483,1183,1810
"22","Aubing",2188,2011,1937,4125,820,276,1092
"23","Allach - Untermenzing",1785,2011,1615,3400,477,439,869
"24","Feldmoching - Hasenbergl",3486,2011,2897,6383,1233,657,1596
"25","Laim",4032,2011,2845,6877,998,1130,1904
"1","Altstadt - Lehel",1919,2012,1632,3551,276,719,924
"2","Ludwigsvorstadt - Isarvorstadt",5523,2012,4304,9827,1052,1291,3180
"3","Maxvorstadt",5340,2012,3861,9201,986,1688,2666
"4","Schwabing - West",5782,2012,4054,9836,1355,1830,2597
"5","Au - Haidhausen",5063,2012,3798,8861,1261,1464,2338
"6","Sendling",3311,2012,2383,5694,563,1072,1676
"7","Sendling - Westpark",3933,2012,2926,6859,898,1126,1909
"8","Schwanthalerhöhe",2741,2012,2204,4945,560,807,1374
"9","Neuhausen - Nymphenburg",7346,2012,6165,13511,2051,2163,3132
"10","Moosach",3799,2012,3494,7293,1084,1118,1597
"11","Milbertshofen - Am Hart",6275,2012,4761,11036,1839,1733,2703
"12","Schwabing - Freimann",6058,2012,4964,11022,1622,1712,2724
"13","Bogenhausen",5077,2012,4639,9716,1936,959,2182
"14","Berg am Laim",3212,2012,2277,5489,794,1035,1383
"15","Trudering - Riem",3591,2012,3879,7470,1381,735,1475
"16","Ramersdorf - Perlach",6600,2012,5576,12176,2165,1598,2837
"17","Obergiesing - Fasangarten",4478,2012,4420,8898,898,992,2588
"18","Untergiesing - Harlaching",4340,2012,3224,7564,1089,1182,2069
"19","Thalkirchen",5843,2012,7743,13586,2074,918,2851
"20","Hadern",2886,2012,2542,5428,820,736,1330
"21","Pasing - Obermenzing",4329,2012,4086,8415,1365,1145,1819
"22","Aubing",2247,2012,2185,4432,788,274,1185
"23","Allach - Untermenzing",1806,2012,1703,3509,608,395,803
"24","Feldmoching - Hasenbergl",3387,2012,3153,6540,1154,631,1602
"25","Laim",3845,2012,2952,6797,920,1022,1903
"1","Altstadt - Lehel",1926,2013,1844,3770,248,709,969
"2","Ludwigsvorstadt - Isarvorstadt",5599,2013,5103,10702,1024,1221,3354
"3","Maxvorstadt",5414,2013,4448,9862,973,1697,2744
"4","Schwabing - West",5526,2013,4422,9948,1110,1611,2805
"5","Au - Haidhausen",5193,2013,4075,9268,1114,1528,2551
"6","Sendling",3239,2013,2648,5887,564,941,1734
"7","Sendling - Westpark",3891,2013,3361,7252,872,1039,1980
"8","Schwanthalerhöhe",2668,2013,2096,4764,460,817,1391
"9","Neuhausen - Nymphenburg",7646,2013,6741,14387,2266,2111,3269
"10","Moosach",3678,2013,4233,7911,982,1065,1631
"11","Milbertshofen - Am Hart",6230,2013,5488,11718,1589,1884,2757
"12","Schwabing - Freimann",5806,2013,5736,11542,1310,1698,2798
"13","Bogenhausen",4938,2013,5221,10159,1786,1007,2145
"14","Berg am Laim",2974,2013,2525,5499,650,932,1392
"15","Trudering - Riem",3193,2013,3916,7109,1270,588,1335
"16","Ramersdorf - Perlach",6370,2013,6206,12576,2075,1384,2911
"17","Obergiesing - Fasangarten",4064,2013,4994,9058,865,874,2325
"18","Untergiesing - Harlaching",4149,2013,3511,7660,1014,1104,2031
"19","Thalkirchen",6283,2013,12727,19010,2085,977,3221
"20","Hadern",2986,2013,2708,5694,898,729,1359
"21","Pasing - Obermenzing",4225,2013,4615,8840,1213,1091,1921
"22","Aubing",2210,2013,2687,4897,750,289,1171
"23","Allach - Untermenzing",1742,2013,2013,3755,496,415,831
"24","Feldmoching - Hasenbergl",3458,2013,3584,7042,1106,606,1746
"25","Laim",4023,2013,2984,7007,855,1148,2020
"1","Altstadt - Lehel",1951,2014,1606,3557,249,738,964
"2","Ludwigsvorstadt - Isarvorstadt",5735,2014,4937,10672,1023,1227,3485
"3","Maxvorstadt",5363,2014,4192,9555,899,1686,2778
"4","Schwabing - West",5727,2014,4164,9891,1281,1673,2773
"5","Au - Haidhausen",5186,2014,3653,8839,1093,1564,2529
"6","Sendling",3340,2014,2611,5951,573,1036,1731
"7","Sendling - Westpark",3923,2014,3147,7070,891,1097,1935
"8","Schwanthalerhöhe",2653,2014,2014,4667,504,771,1378
"9","Neuhausen - Nymphenburg",7399,2014,6061,13460,2036,2179,3184
"10","Moosach",3539,2014,3656,7195,874,949,1716
"11","Milbertshofen - Am Hart",6415,2014,5645,12060,1756,1891,2768
"12","Schwabing - Freimann",6346,2014,10625,16971,1442,1650,3254
"13","Bogenhausen",4715,2014,4922,9637,1667,881,2167
"14","Berg am Laim",3067,2014,2305,5372,593,961,1513
"15","Trudering - Riem",3513,2014,3790,7303,1218,762,1533
"16","Ramersdorf - Perlach",6725,2014,5630,12355,2085,1526,3114
"17","Obergiesing - Fasangarten",3923,2014,3838,7761,834,905,2184
"18","Untergiesing - Harlaching",4388,2014,3150,7538,1003,1150,2235
"19","Thalkirchen",7421,2014,6768,14189,2007,952,4462
"20","Hadern",2938,2014,2650,5588,757,697,1484
"21","Pasing - Obermenzing",4381,2014,4251,8632,1260,1108,2013
"22","Aubing",2306,2014,2542,4848,629,318,1359
"23","Allach - Untermenzing",1720,2014,1928,3648,534,395,791
"24","Feldmoching - Hasenbergl",3474,2014,3237,6711,1064,677,1733
"25","Laim",3740,2014,3164,6904,811,968,1961
"1","Altstadt - Lehel",1761,2015,1535,3296,205,673,883
"2","Ludwigsvorstadt - Isarvorstadt",5398,2015,5279,10677,1036,1210,3152
"3","Maxvorstadt",5186,2015,4464,9650,967,1509,2710
"4","Schwabing - West",5943,2015,4276,10219,1301,1957,2685
"5","Au - Haidhausen",4899,2015,3941,8840,1012,1417,2470
"6","Sendling",3180,2015,2581,5761,412,949,1819
"7","Sendling - Westpark",4233,2015,3421,7654,852,1103,2278
"8","Schwanthalerhöhe",2575,2015,2012,4587,489,798,1288
"9","Neuhausen - Nymphenburg",7526,2015,6269,13795,2029,2327,3170
"10","Moosach",3764,2015,3459,7223,878,1074,1812
"11","Milbertshofen - Am Hart",5982,2015,5699,11681,1529,1782,2671
"12","Schwabing - Freimann",6437,2015,7548,13985,1424,1790,3223
"13","Bogenhausen",5081,2015,4916,9997,1621,1177,2283
"14","Berg am Laim",3297,2015,2375,5672,605,1029,1663
"15","Trudering - Riem",4149,2015,3608,7757,1351,807,1991
"16","Ramersdorf - Perlach",7168,2015,5779,12947,1950,1638,3580
"17","Obergiesing - Fasangarten",3992,2015,3645,7637,718,892,2382
"18","Untergiesing - Harlaching",4257,2015,3244,7501,828,1242,2187
"19","Thalkirchen",6545,2015,5663,12208,1945,1154,3446
"20","Hadern",3254,2015,2902,6156,821,871,1562
"21","Pasing - Obermenzing",4880,2015,4283,9163,1265,1287,2328
"22","Aubing",2894,2015,2846,5740,702,395,1797
"23","Allach - Untermenzing",1916,2015,1824,3740,496,489,931
"24","Feldmoching - Hasenbergl",4076,2015,3325,7401,1076,758,2242
"25","Laim",4160,2015,3165,7325,834,1107,2219
"1","Altstadt - Lehel",1926,2016,1674,3600,196,716,1014
"2","Ludwigsvorstadt - Isarvorstadt",5336,2016,4946,10282,785,1072,3479
"3","Maxvorstadt",6500,2016,4911,11411,773,1724,4003
"4","Schwabing - West",5732,2016,4433,10165,1177,1814,2741
"5","Au - Haidhausen",4862,2016,4122,8984,920,1467,2475
"6","Sendling",3136,2016,2579,5715,413,952,1771
"7","Sendling - Westpark",4286,2016,3424,7710,912,1136,2238
"8","Schwanthalerhöhe",2451,2016,2156,4607,392,802,1257
"9","Neuhausen - Nymphenburg",7359,2016,6313,13672,1843,2296,3220
"10","Moosach",3880,2016,3496,7376,907,1133,1840
"11","Milbertshofen - Am Hart",6424,2016,6090,12514,1409,1859,3156
"12","Schwabing - Freimann",7495,2016,9956,17451,1522,1876,4097
"13","Bogenhausen",6123,2016,5264,11387,2010,1354,2759
"14","Berg am Laim",2747,2016,2666,5413,563,866,1318
"15","Trudering - Riem",3693,2016,4070,7763,1166,734,1793
"16","Ramersdorf - Perlach",6152,2016,6062,12214,1869,1300,2983
"17","Obergiesing - Fasangarten",3833,2016,3926,7759,653,834,2346
"18","Untergiesing - Harlaching",4469,2016,3390,7859,1143,1035,2291
"19","Thalkirchen",6070,2016,5977,12047,1782,1058,3230
"20","Hadern",3258,2016,3049,6307,793,984,1481
"21","Pasing - Obermenzing",4428,2016,5232,9660,1289,1103,2036
"22","Aubing",2674,2016,2989,5663,951,316,1407
"23","Allach - Untermenzing",1842,2016,2170,4012,467,478,897
"24","Feldmoching - Hasenbergl",3558,2016,4402,7960,992,645,1921
"25","Laim",3835,2016,3257,7092,712,995,2128
"1","Altstadt - Lehel",1850,2017,2301,4151,217,705,928
"2","Ludwigsvorstadt - Isarvorstadt",5253,2017,8490,13743,703,1150,3400
"3","Maxvorstadt",5216,2017,7070,12286,772,1524,2920
"4","Schwabing - West",5617,2017,6120,11737,1087,1686,2844
"5","Au - Haidhausen",5114,2017,5568,10682,1061,1482,2571
"6","Sendling",2939,2017,3526,6465,389,818,1732
"7","Sendling - Westpark",3871,2017,4146,8017,798,1007,2066
